Feature	Missing_percent	Value	EstAncestralFrequency	Pop1	Pop2	Pop3
GB020	0.0	0	0.864	0.989	0.990	0.872	
GB020	0.0	1	0.136	0.011	0.010	0.128	

GB021	0.0	0	0.882	0.991	0.991	0.908	
GB021	0.0	1	0.118	0.009	0.009	0.092	

GB022	1.7	1	0.258	0.552	0.021	0.187	
GB022	1.7	0	0.742	0.448	0.979	0.813	

GB023	0.0	0	0.848	0.988	0.988	0.836	
GB023	0.0	1	0.152	0.012	0.012	0.164	

GB026	51.7	1	0.335	0.395	0.060	0.328	
GB026	51.7	0	0.665	0.605	0.940	0.672	

GB027	43.3	0	0.457	0.512	0.874	0.317	
GB027	43.3	1	0.543	0.488	0.126	0.683	

GB074	5.0	0	0.902	0.956	0.991	0.968	
GB074	5.0	1	0.098	0.044	0.009	0.032	

GB075	6.7	1	1.000	1.000	1.000	1.000	

GB117	16.7	1	0.806	0.877	0.939	0.895	
GB117	16.7	0	0.194	0.123	0.061	0.105	

GB118	38.3	1	0.324	0.142	0.429	0.251	
GB118	38.3	0	0.676	0.858	0.571	0.749	

GB119	6.7	1	0.643	0.878	0.207	0.737	
GB119	6.7	0	0.357	0.122	0.793	0.263	

GB120	6.7	1	0.630	0.778	0.737	0.667	
GB120	6.7	0	0.370	0.222	0.263	0.333	

GB121	5.0	1	0.519	0.710	0.101	0.595	
GB121	5.0	0	0.481	0.290	0.899	0.405	

GB123	53.3	1	0.696	0.955	0.962	0.544	
GB123	53.3	0	0.304	0.045	0.038	0.456	

GB126	31.7	1	0.582	0.864	0.890	0.461	
GB126	31.7	0	0.418	0.136	0.110	0.539	

GB127	60.0	0	0.809	0.934	0.976	0.804	
GB127	60.0	1	0.191	0.066	0.024	0.196	

GB131	0.0	0	1.000	1.000	1.000	1.000	

GB132	0.0	0	0.841	0.878	0.986	0.916	
GB132	0.0	1	0.159	0.122	0.014	0.084	

GB133	0.0	1	1.000	1.000	1.000	1.000	

GB134	23.3	1	0.866	0.912	0.984	0.937	
GB134	23.3	0	0.134	0.088	0.016	0.063	

GB135	36.7	1	0.755	0.891	0.970	0.755	
GB135	36.7	0	0.245	0.109	0.030	0.245	

GB136	31.7	1	0.454	0.796	0.124	0.436	
GB136	31.7	0	0.546	0.204	0.876	0.564	

GB137	3.3	1	0.659	0.965	0.937	0.486	
GB137	3.3	0	0.341	0.035	0.063	0.514	

GB138	6.7	0	0.873	0.977	0.982	0.915	
GB138	6.7	1	0.127	0.023	0.018	0.085	

GB139	15.0	0	0.274	0.746	0.032	0.182	
GB139	15.0	1	0.726	0.254	0.968	0.818	

GB140	18.3	0	0.815	0.945	0.608	0.922	
GB140	18.3	1	0.185	0.055	0.392	0.078	

GB150	13.3	1	0.834	0.943	0.984	0.880	
GB150	13.3	0	0.166	0.057	0.016	0.120	

GB151	5.0	0	0.901	0.989	0.993	0.944	
GB151	5.0	1	0.099	0.011	0.007	0.056	

GB152	11.7	1	0.754	0.764	0.915	0.844	
GB152	11.7	0	0.246	0.236	0.085	0.156	

GB167	6.7	0	0.865	0.989	0.923	0.930	
GB167	6.7	1	0.135	0.011	0.077	0.070	

GB170	0.0	0	1.000	1.000	1.000	1.000	

GB171	0.0	0	1.000	1.000	1.000	1.000	

GB172	0.0	0	1.000	1.000	1.000	1.000	

GB184	11.7	0	0.815	0.982	0.982	0.772	
GB184	11.7	1	0.185	0.018	0.018	0.228	

GB185	33.3	0	0.576	0.805	0.839	0.494	
GB185	33.3	1	0.424	0.195	0.161	0.506	

GB186	1.7	0	1.000	1.000	1.000	1.000	

GB192	0.0	0	1.000	1.000	1.000	1.000	

GB198	0.0	0	1.000	1.000	1.000	1.000	

GB250	31.7	0	0.872	0.988	0.577	0.958	
GB250	31.7	1	0.128	0.012	0.423	0.042	

GB252	36.7	0	0.258	0.332	0.042	0.204	
GB252	36.7	1	0.742	0.668	0.958	0.796	

GB253	36.7	0	0.377	0.790	0.760	0.184	
GB253	36.7	1	0.623	0.210	0.240	0.816	

GB254	30.0	1	0.478	0.926	0.385	0.333	
GB254	30.0	0	0.522	0.074	0.615	0.667	

GB256	41.7	0	0.635	0.949	0.933	0.443	
GB256	41.7	1	0.365	0.051	0.067	0.557	

GB257	16.7	0	0.735	0.700	0.778	0.854	
GB257	16.7	1	0.265	0.300	0.222	0.146	

GB260	10.0	0	1.000	1.000	1.000	1.000	

GB262	8.3	0	1.000	1.000	1.000	1.000	

GB263	8.3	1	0.769	0.887	0.948	0.816	
GB263	8.3	0	0.231	0.113	0.052	0.184	

GB264	10.0	0	0.836	0.948	0.922	0.916	
GB264	10.0	1	0.164	0.052	0.078	0.084	

GB265	18.3	0	0.899	0.992	0.905	0.966	
GB265	18.3	1	0.101	0.008	0.095	0.034	

GB266	20.0	1	0.805	0.984	0.203	0.901	
GB266	20.0	0	0.195	0.016	0.797	0.099	

GB270	20.0	0	1.000	1.000	1.000	1.000	

GB273	15.0	0	0.666	0.969	0.088	0.735	
GB273	15.0	1	0.334	0.031	0.912	0.265	

GB276	23.3	1	0.166	0.167	0.098	0.059	
GB276	23.3	0	0.834	0.833	0.902	0.941	

GB285	10.0	0	0.899	0.991	0.991	0.939	
GB285	10.0	1	0.101	0.009	0.009	0.061	

GB286	8.3	0	0.792	0.971	0.929	0.814	
GB286	8.3	1	0.208	0.029	0.071	0.186	

GB291	3.3	0	1.000	1.000	1.000	1.000	

GB297	6.7	0	0.900	0.992	0.991	0.939	
GB297	6.7	1	0.100	0.008	0.009	0.061	

GB298	3.3	0	0.672	0.934	0.758	0.650	
GB298	3.3	1	0.328	0.066	0.242	0.350	

GB299	8.3	0	0.583	0.929	0.887	0.410	
GB299	8.3	1	0.417	0.071	0.113	0.590	

GB301	73.3	1	0.379	0.853	0.093	0.293	
GB301	73.3	0	0.621	0.147	0.907	0.707	

GB302	1.7	0	0.904	0.992	0.993	0.945	
GB302	1.7	1	0.096	0.008	0.007	0.055	

