Language	Pop1	Pop2	Pop3	Pop4	Pop5
Turkish	0.013	0.015	0.939	0.018	0.015
Bashkir	0.039	0.042	0.840	0.044	0.035
BeryozovkaE	0.030	0.219	0.044	0.525	0.182
Bonan	0.015	0.304	0.011	0.214	0.455
Tsuken	0.911	0.022	0.019	0.027	0.020
Chagatai	0.033	0.082	0.730	0.076	0.079
Chuvash	0.011	0.086	0.760	0.054	0.089
CrimeanTata	0.013	0.024	0.906	0.028	0.029
Dagur	0.012	0.650	0.014	0.015	0.310
Dolgan	0.056	0.404	0.249	0.085	0.206
Dongxiang	0.010	0.567	0.058	0.066	0.299
ShiraYughur	0.015	0.622	0.025	0.034	0.305
Gagauz	0.022	0.062	0.633	0.202	0.081
Khalkha	0.020	0.642	0.011	0.020	0.307
Hateruma	0.699	0.040	0.077	0.085	0.100
Solon	0.022	0.265	0.169	0.339	0.205
Mongghul	0.018	0.401	0.014	0.196	0.371
Ikema	0.957	0.010	0.013	0.011	0.010
KaraKalpak	0.055	0.025	0.867	0.030	0.023
Kazakh	0.013	0.015	0.941	0.014	0.016
Khakas	0.008	0.011	0.963	0.009	0.010
KhamnigalMo	0.026	0.434	0.072	0.141	0.327
Korean	0.680	0.088	0.024	0.075	0.132
Manchu	0.041	0.124	0.020	0.328	0.487
MiddleMongo	0.012	0.468	0.045	0.170	0.305
MiddleKorea	0.689	0.079	0.051	0.090	0.091
Mangghuer	0.038	0.131	0.010	0.312	0.510
Moghol	0.029	0.232	0.018	0.486	0.235
MomaEven	0.063	0.204	0.019	0.477	0.237
Nanai	0.230	0.291	0.012	0.253	0.213
Negidal	0.033	0.210	0.128	0.448	0.181
Nogai	0.015	0.019	0.933	0.016	0.017
NorthernUzb	0.040	0.039	0.845	0.037	0.040
Azerbaijani	0.012	0.025	0.911	0.028	0.024
Ura	0.889	0.021	0.048	0.021	0.022
Japanese	0.779	0.050	0.009	0.084	0.079
Ogami	0.712	0.030	0.034	0.106	0.118
Oirat	0.014	0.611	0.051	0.028	0.297
Okinoerabu	0.909	0.023	0.027	0.020	0.021
EasternOldJ	0.599	0.058	0.014	0.161	0.168
OldTurkic	0.007	0.052	0.746	0.096	0.099
Ordos	0.055	0.374	0.069	0.209	0.294
Oroch	0.073	0.188	0.128	0.452	0.160
Orok	0.220	0.193	0.091	0.316	0.180
Buriat	0.033	0.557	0.041	0.086	0.283
Shor	0.015	0.022	0.927	0.018	0.018
Shuri	0.948	0.013	0.015	0.012	0.012
Evenki	0.009	0.194	0.058	0.416	0.323
Yuwan	0.966	0.008	0.011	0.008	0.008
Tarama	0.938	0.016	0.011	0.020	0.015
Tatar	0.036	0.026	0.872	0.036	0.029
Kalmyk	0.021	0.481	0.036	0.132	0.330
Khalaj	0.008	0.072	0.665	0.194	0.061
Turkmen	0.017	0.026	0.895	0.029	0.032
Tuvan	0.231	0.209	0.186	0.210	0.164
Udihe	0.005	0.113	0.044	0.353	0.485
Uighur	0.017	0.048	0.838	0.044	0.053
Ulch	0.260	0.241	0.014	0.280	0.205
Yakut	0.024	0.431	0.116	0.145	0.285
Yonaguni	0.912	0.030	0.012	0.022	0.024	
