Language & Japono-Koreanic & Turkic & Tungusic & Mongolic & Family\\ 
CrimeanTatar & 0.017 & 0.964 & 0.013 & 0.006 & Turkic\\ 
Bashkir & 0.004 & 0.978 & 0.013 & 0.005 & Turkic\\ 
Turkish & 0.002 & 0.988 & 0.004 & 0.006 & Turkic\\ 
Yakut & 0.066 & 0.87 & 0.04 & 0.025 & Turkic\\ 
Azerbaijani & 0.002 & 0.987 & 0.004 & 0.006 & Turkic\\ 
Gagauz & 0.005 & 0.986 & 0.004 & 0.005 & Turkic\\ 
Shor & 0.003 & 0.98 & 0.009 & 0.009 & Turkic\\ 
Kazakh & 0.004 & 0.984 & 0.004 & 0.008 & Turkic\\ 
Chagatai & 0.003 & 0.981 & 0.006 & 0.01 & Turkic\\ 
Khalaj & 0.003 & 0.97 & 0.008 & 0.018 & Turkic\\ 
NorthernUzbek & 0.003 & 0.988 & 0.004 & 0.005 & Turkic\\ 
Tatar & 0.002 & 0.984 & 0.007 & 0.006 & Turkic\\ 
Turkmen & 0.002 & 0.988 & 0.005 & 0.005 & Turkic\\ 
Chuvash & 0.009 & 0.518 & 0.177 & 0.296 & Turkic\\ 
Nogai & 0.002 & 0.985 & 0.006 & 0.007 & Turkic\\ 
Tuvan & 0.011 & 0.959 & 0.013 & 0.017 & Turkic\\ 
Khakas & 0.01 & 0.956 & 0.026 & 0.007 & Turkic\\ 
OldTurkic & 0.012 & 0.808 & 0.054 & 0.126 & Turkic\\ 
Uighur & 0.004 & 0.983 & 0.004 & 0.01 & Turkic\\ 
KaraKalpak & 0.003 & 0.96 & 0.005 & 0.032 & Turkic\\ 
Dolgan & 0.017 & 0.931 & 0.035 & 0.016 & Turkic\\ 
Evenki & 0.003 & 0.009 & 0.981 & 0.006 & Tungusic\\ 
Ulch & 0.08 & 0.037 & 0.877 & 0.006 & Tungusic\\ 
MomaEven & 0.006 & 0.037 & 0.947 & 0.011 & Tungusic\\ 
Manchu & 0.176 & 0.017 & 0.462 & 0.344 & Tungusic\\ 
Solon & 0.003 & 0.015 & 0.954 & 0.028 & Tungusic\\ 
Negidal & 0.004 & 0.01 & 0.976 & 0.01 & Tungusic\\ 
Nanai & 0.019 & 0.009 & 0.948 & 0.024 & Tungusic\\ 
Udihe & 0.004 & 0.031 & 0.935 & 0.03 & Tungusic\\ 
Oroch & 0.003 & 0.006 & 0.987 & 0.004 & Tungusic\\ 
Orok & 0.006 & 0.012 & 0.972 & 0.01 & Tungusic\\ 
BeryozovkaEven & 0.015 & 0.009 & 0.961 & 0.014 & Tungusic\\ 
Kalmyk & 0.022 & 0.098 & 0.055 & 0.825 & Mongolic\\ 
Dagur & 0.004 & 0.021 & 0.072 & 0.904 & Mongolic\\ 
ShiraYughur & 0.009 & 0.008 & 0.006 & 0.977 & Mongolic\\ 
Bonan & 0.008 & 0.013 & 0.011 & 0.969 & Mongolic\\ 
MiddleMongol & 0.008 & 0.033 & 0.094 & 0.865 & Mongolic\\ 
Ordos & 0.015 & 0.009 & 0.007 & 0.969 & Mongolic\\ 
Mangghuer & 0.006 & 0.01 & 0.009 & 0.974 & Mongolic\\ 
Oirat & 0.002 & 0.017 & 0.007 & 0.973 & Mongolic\\ 
Dongxiang & 0.004 & 0.025 & 0.027 & 0.944 & Mongolic\\ 
Khalkha & 0.005 & 0.092 & 0.004 & 0.898 & Mongolic\\ 
Mongghul & 0.005 & 0.007 & 0.004 & 0.984 & Mongolic\\ 
Moghol & 0.005 & 0.048 & 0.196 & 0.75 & Mongolic\\ 
Buriat & 0.008 & 0.46 & 0.008 & 0.524 & Mongolic\\ 
KhamniganMongol & 0.004 & 0.037 & 0.013 & 0.946 & Mongolic\\ 
Korean & 0.972 & 0.014 & 0.009 & 0.005 & Koreanic\\ 
MiddleKorean & 0.97 & 0.008 & 0.003 & 0.019 & Koreanic\\ 
EasternOldJapanese & 0.98 & 0.004 & 0.012 & 0.004 & Japonic\\ 
Okinoerabu & 0.989 & 0.004 & 0.004 & 0.003 & Japonic\\ 
Ikema & 0.819 & 0.032 & 0.08 & 0.07 & Japonic\\ 
Ura & 0.983 & 0.005 & 0.005 & 0.008 & Japonic\\ 
Tarama & 0.98 & 0.008 & 0.007 & 0.006 & Japonic\\ 
Shuri & 0.991 & 0.003 & 0.003 & 0.003 & Japonic\\ 
Hateruma & 0.977 & 0.008 & 0.009 & 0.006 & Japonic\\ 
Ogami & 0.895 & 0.007 & 0.076 & 0.022 & Japonic\\ 
Tsuken & 0.98 & 0.006 & 0.008 & 0.006 & Japonic\\ 
Yonaguni & 0.981 & 0.004 & 0.009 & 0.005 & Japonic\\ 
Japanese & 0.991 & 0.002 & 0.003 & 0.003 & Japonic\\ 
Yuwan & 0.982 & 0.011 & 0.003 & 0.004 & Japonic\\ 
