Language	Pop1	Pop2	Pop3
Turkish	0.005	0.992	0.003
Bashkir	0.008	0.988	0.004
BeryozovkaE	0.985	0.009	0.006
Bonan	0.966	0.014	0.019
Tsuken	0.008	0.006	0.987
Chagatai	0.008	0.988	0.004
Chuvash	0.549	0.439	0.012
CrimeanTata	0.011	0.961	0.028
Dagur	0.976	0.020	0.004
Dolgan	0.026	0.966	0.008
Dongxiang	0.961	0.035	0.004
ShiraYughur	0.959	0.019	0.021
Gagauz	0.005	0.991	0.004
Khalkha	0.574	0.387	0.038
Hateruma	0.010	0.009	0.981
Solon	0.983	0.012	0.005
Mongghul	0.972	0.021	0.007
Ikema	0.140	0.036	0.825
KaraKalpak	0.015	0.980	0.004
Kazakh	0.005	0.990	0.005
Khakas	0.017	0.966	0.017
KhamnigalMo	0.805	0.188	0.007
Korean	0.009	0.018	0.973
Manchu	0.835	0.009	0.156
MiddleMongo	0.960	0.033	0.007
MiddleKorea	0.010	0.014	0.976
Mangghuer	0.975	0.016	0.010
Moghol	0.965	0.030	0.005
MomaEven	0.961	0.030	0.009
Nanai	0.941	0.015	0.044
Negidal	0.981	0.012	0.008
Nogai	0.007	0.990	0.003
NorthernUzb	0.005	0.992	0.003
Azerbaijani	0.007	0.990	0.003
Ura	0.007	0.005	0.988
Japanese	0.004	0.003	0.993
Ogami	0.115	0.008	0.877
Oirat	0.955	0.042	0.004
Okinoerabu	0.004	0.005	0.991
EasternOldJ	0.009	0.005	0.986
OldTurkic	0.100	0.882	0.018
Ordos	0.967	0.020	0.013
Oroch	0.976	0.015	0.009
Orok	0.973	0.015	0.011
Buriat	0.102	0.874	0.024
Shor	0.009	0.987	0.004
Shuri	0.004	0.004	0.992
Evenki	0.978	0.015	0.007
Yuwan	0.004	0.016	0.980
Tarama	0.008	0.011	0.981
Tatar	0.007	0.990	0.003
Kalmyk	0.857	0.098	0.045
Khalaj	0.015	0.981	0.004
Turkmen	0.006	0.991	0.003
Tuvan	0.016	0.970	0.014
Udihe	0.972	0.021	0.007
Uighur	0.006	0.989	0.004
Ulch	0.533	0.172	0.295
Yakut	0.026	0.966	0.007
Yonaguni	0.011	0.005	0.983	
