Feature	Missing_percent	Value	EstAncestralFrequency	Pop1	Pop2	Pop3	Pop4
GB028	5.0	0	0.684	0.360	0.954	0.990	0.398
GB028	5.0	1	0.316	0.640	0.046	0.010	0.602
GB030	5.0	0	0.874	0.985	0.907	0.996	0.987
GB030	5.0	1	0.126	0.015	0.093	0.004	0.013
GB031	6.7	0	0.811	0.975	0.899	0.904	0.977
GB031	6.7	1	0.189	0.025	0.101	0.096	0.023
GB035	8.3	1	0.309	0.042	0.744	0.532	0.034
GB035	8.3	0	0.691	0.958	0.256	0.468	0.966
GB036	6.7	0	1.000	1.000	1.000	1.000	1.000
GB037	8.3	0	0.824	0.909	0.973	0.953	0.981
GB037	8.3	1	0.176	0.091	0.027	0.047	0.019
GB038	0.0	0	1.000	1.000	1.000	1.000	1.000
GB039	5.0	0	0.633	0.382	0.593	0.988	0.864
GB038	0.0	1	0.367	0.618	0.407	0.012	0.136
GB041	11.7	0	0.872	0.918	0.982	0.995	0.984
GB041	11.7	1	0.128	0.082	0.018	0.005	0.016
GB042	0.0	0	0.876	0.921	0.986	0.996	0.988
GB042	0.0	1	0.124	0.079	0.014	0.004	0.012
GB043	0.0	0	0.878	0.922	0.986	0.996	0.987
GB043	0.0	1	0.122	0.078	0.014	0.004	0.013
GB044	1.7	1	0.647	0.829	0.395	0.988	0.672
GB044	1.7	0	0.353	0.171	0.605	0.012	0.328
GB046	48.3	1	0.730	0.666	0.742	0.967	0.961
GB046	48.3	0	0.270	0.334	0.258	0.033	0.039
GB047	31.7	1	0.798	0.879	0.849	0.993	0.959
GB047	31.7	0	0.202	0.121	0.151	0.007	0.041
GB048	38.3	1	0.701	0.932	0.672	0.894	0.804
GB048	38.3	0	0.299	0.068	0.328	0.106	0.196
GB049	33.3	1	0.722	0.880	0.646	0.988	0.856
GB049	33.3	0	0.278	0.120	0.354	0.012	0.144
GB051	0.0	0	1.000	1.000	1.000	1.000	1.000
GB052	0.0	0	1.000	1.000	1.000	1.000	1.000
GB053	0.0	0	1.000	1.000	1.000	1.000	1.000
GB054	0.0	0	1.000	1.000	1.000	1.000	1.000
GB057	8.3	0	0.516	0.820	0.080	0.952	0.582
GB057	8.3	1	0.484	0.180	0.920	0.048	0.418
GB058	0.0	0	1.000	1.000	1.000	1.000	1.000
GB059	6.7	0	0.810	0.960	0.975	0.989	0.266
GB059	6.7	1	0.190	0.040	0.025	0.011	0.734
GB068	10.0	0	0.704	0.964	0.181	0.823	0.971
GB068	10.0	1	0.296	0.036	0.819	0.177	0.029
GB069	10.0	0	0.813	0.978	0.293	0.993	0.982
GB069	10.0	1	0.187	0.022	0.707	0.007	0.018
GB070	0.0	1	0.878	0.963	0.970	0.996	0.961
GB070	0.0	0	0.122	0.037	0.030	0.004	0.039
GB071	1.7	1	0.876	0.985	0.920	0.996	0.987
GB071	1.7	0	0.124	0.015	0.080	0.004	0.013
GB072	0.0	1	0.877	0.964	0.969	0.996	0.961
GB072	0.0	0	0.123	0.036	0.031	0.004	0.039
GB073	3.3	1	1.000	1.000	1.000	1.000	1.000
GB079	0.0	0	0.878	0.985	0.925	0.996	0.987
GB079	0.0	1	0.122	0.015	0.075	0.004	0.013
GB080	0.0	1	1.000	1.000	1.000	1.000	1.000
GB081	0.0	0	1.000	1.000	1.000	1.000	1.000
GB082	1.7	1	0.678	0.822	0.778	0.910	0.869
GB082	1.7	0	0.322	0.178	0.222	0.090	0.131
GB083	0.0	1	0.824	0.978	0.918	0.994	0.903
GB083	0.0	0	0.176	0.022	0.082	0.006	0.097
GB084	5.0	1	0.502	0.221	0.197	0.719	0.943
GB084	5.0	0	0.498	0.779	0.803	0.281	0.057
GB086	5.0	1	0.668	0.895	0.831	0.632	0.758
GB086	5.0	0	0.332	0.105	0.169	0.368	0.242
GB089	0.0	1	0.563	0.464	0.062	0.986	0.947
GB089	0.0	0	0.437	0.536	0.938	0.014	0.053
GB090	0.0	0	1.000	1.000	1.000	1.000	1.000
GB091	0.0	1	0.562	0.464	0.062	0.986	0.947
GB091	0.0	0	0.438	0.536	0.938	0.014	0.053
GB092	0.0	0	1.000	1.000	1.000	1.000	1.000
GB093	0.0	0	1.000	1.000	1.000	1.000	1.000
GB094	0.0	0	1.000	1.000	1.000	1.000	1.000
GB095	1.7	0	1.000	1.000	1.000	1.000	1.000
GB096	1.7	0	1.000	1.000	1.000	1.000	1.000
GB098	1.7	0	1.000	1.000	1.000	1.000	1.000
GB099	8.3	0	1.000	1.000	1.000	1.000	1.000
GB103	1.7	0	0.864	0.982	0.858	0.996	0.986
GB103	1.7	1	0.136	0.018	0.142	0.004	0.014
GB104	1.7	0	1.000	1.000	1.000	1.000	1.000
GB105	10.0	0	0.762	0.784	0.825	0.984	0.965
GB105	10.0	1	0.238	0.216	0.175	0.016	0.035
GB107	5.0	1	0.686	0.273	0.963	0.990	0.481
GB107	5.0	0	0.314	0.727	0.037	0.010	0.519
GB108	6.7	0	0.757	0.959	0.845	0.992	0.393
GB108	6.7	1	0.243	0.041	0.155	0.008	0.607
GB109	8.3	0	1.000	1.000	1.000	1.000	1.000
GB110	23.3	0	0.859	0.981	0.821	0.995	0.984
GB110	23.3	1	0.141	0.019	0.179	0.005	0.016
GB111	15.0	0	0.507	0.901	0.115	0.975	0.063
GB111	15.0	1	0.493	0.099	0.885	0.025	0.937
GB113	16.7	1	1.000	1.000	1.000	1.000	1.000
GB114	23.3	1	0.445	0.176	0.175	0.975	0.474
GB114	23.3	0	0.555	0.824	0.825	0.025	0.526
GB115	20.0	1	0.645	0.873	0.347	0.958	0.795
GB115	20.0	0	0.355	0.127	0.653	0.042	0.205
GB116	0.0	0	1.000	1.000	1.000	1.000	1.000
GB122	33.3	0	0.747	0.964	0.282	0.988	0.868
GB122	33.3	1	0.253	0.036	0.718	0.012	0.132
GB124	3.3	0	1.000	1.000	1.000	1.000	1.000
GB129	0.0	0	1.000	1.000	1.000	1.000	1.000
GB147	3.3	1	0.782	0.648	0.975	0.989	0.889
GB147	3.3	0	0.218	0.352	0.025	0.011	0.111
GB148	3.3	0	1.000	1.000	1.000	1.000	1.000
GB149	0.0	0	1.000	1.000	1.000	1.000	1.000
GB155	6.7	1	1.000	1.000	1.000	1.000	1.000
GB156	3.3	0	0.876	0.985	0.924	0.996	0.986
GB156	3.3	1	0.124	0.015	0.076	0.004	0.014
GB158	33.3	0	0.730	0.876	0.703	0.934	0.960
GB158	33.3	1	0.270	0.124	0.297	0.066	0.040
GB159	33.3	0	0.719	0.890	0.706	0.798	0.957
GB159	33.3	1	0.281	0.110	0.294	0.202	0.043
GB160	35.0	1	0.622	0.566	0.846	0.860	0.672
GB160	35.0	0	0.378	0.434	0.154	0.140	0.328
GB165	0.0	0	1.000	1.000	1.000	1.000	1.000
GB166	0.0	0	0.878	0.923	0.986	0.996	0.987
GB166	0.0	1	0.122	0.077	0.014	0.004	0.013
GB177	1.7	0	1.000	1.000	1.000	1.000	1.000
GB187	25.0	1	0.820	0.654	0.977	0.984	0.964
GB187	25.0	0	0.180	0.346	0.023	0.016	0.036
GB188	26.7	0	0.740	0.880	0.899	0.988	0.635
GB188	26.7	1	0.260	0.120	0.101	0.012	0.365
GB196	5.0	0	0.875	0.985	0.906	0.996	0.987
GB196	5.0		1	0.125	0.015	0.094	0.004	0.013
GB197	5.0	0	0.875	0.985	0.906	0.996	0.988
GB197	5.0	1	0.125	0.015	0.094	0.004	0.012
GB275	25.0	0	0.704	0.873	0.935	0.541	0.688
GB275	25.0	1	0.296	0.127	0.065	0.459	0.312
GB296	31.7	0	0.522	0.810	0.301	0.821	0.293
GB296	31.7	1	0.478	0.190	0.699	0.179	0.707
GB300	33.3	0	1.000	1.000	1.000	1.000	1.000
GB305	16.7	1	0.872	0.982	0.979	0.939	0.986
GB305	16.7	0	0.128	0.018	0.021	0.061	0.014
GB306	43.3	0	0.784	0.955	0.452	0.990	0.925
GB306	43.3	1	0.216	0.045	0.548	0.010	0.075
GB312	0.0	1	0.878	0.921	0.986	0.996	0.987
GB312	0.0	0	0.122	0.079	0.014	0.004	0.013
GB313	8.3	0	0.747	0.882	0.884	0.729	0.974
GB313	8.3	1	0.253	0.118	0.116	0.271	0.026
GB314	0.0	0	1.000	1.000	1.000	1.000	1.000
GB315	0.0	0	1.000	1.000	1.000	1.000	1.000
GB321	0.0	0	1.000	1.000	1.000	1.000	1.000
GB325	31.7	1	0.379	0.368	0.474	0.302	0.060
GB325	31.7	0	0.621	0.632	0.526	0.698	0.940
GB333	16.7	1	1.000	1.000	1.000	1.000	1.000
GB334	15.0	0	1.000	1.000	1.000	1.000	1.000
GB335	18.3	0	1.000	1.000	1.000	1.000	1.000
GB336	8.3	0	1.000	1.000	1.000	1.000	1.000
GB402	31.7	0	1.000	1.000	1.000	1.000	1.000
GB403	33.3	0	0.815	0.974	0.449	0.993	0.966
GB403	33.3	1	0.185	0.026	0.551	0.007	0.034
GB415	5.0	0	0.605	0.721	0.455	0.655	0.905
GB415	5.0	1	0.395	0.279	0.545	0.345	0.095
GB430	0.0	0	1.000	1.000	1.000	1.000	1.000
GB431	0.0	0	0.879	0.985	0.925	0.996	0.987
GB431	0.0	1	0.121	0.015	0.075	0.004	0.013
GB432	0.0	1	0.743	0.929	0.969	0.908	0.361
GB432	0.0	0	0.257	0.071	0.031	0.092	0.639
GB433	1.7	1	0.734	0.957	0.080	0.992	0.960
GB433	1.7	0	0.266	0.043	0.920	0.008	0.040
TE027	10.0	1	0.446	0.610	0.366	0.439	0.143
TE027	10.0	0	0.554	0.390	0.634	0.561	0.857
TE052	8.3	1	0.475	0.847	0.058	0.978	0.138
TE052	8.3	0	0.525	0.153	0.942	0.022	0.862
TE053	5.0	0	0.340	0.039	0.336	0.735	0.287
TE053	5.0	1	0.660	0.961	0.664	0.265	0.713
TE059	13.3	0	0.712	0.947	0.809	0.877	0.761
TE059	13.3	1	0.288	0.053	0.191	0.123	0.239
TE066	0.0	1	0.515	0.944	0.063	0.985	0.081
TE066	0.0	0	0.485	0.056	0.937	0.015	0.919
