Language	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7
torg1245	0.190	0.139	0.039	0.388	0.035	0.194	0.014
oldj1239	0.072	0.047	0.004	0.004	0.016	0.096	0.760
crim1257	0.019	0.027	0.871	0.007	0.012	0.022	0.042
bash1264	0.116	0.255	0.508	0.007	0.018	0.091	0.005
anat1259	0.004	0.006	0.973	0.007	0.004	0.004	0.002
okin1246	0.004	0.003	0.004	0.003	0.005	0.004	0.977
yaku1245	0.238	0.471	0.090	0.008	0.010	0.176	0.008
daur1238	0.012	0.011	0.013	0.853	0.095	0.012	0.004
east2337	0.028	0.017	0.011	0.901	0.008	0.024	0.010
ikem1235	0.074	0.054	0.027	0.070	0.083	0.077	0.614
sibe1251	0.006	0.005	0.014	0.008	0.958	0.006	0.003
nort2697	0.006	0.011	0.962	0.007	0.006	0.006	0.002
bona1250	0.295	0.180	0.008	0.165	0.009	0.339	0.004
ulch1241	0.015	0.020	0.037	0.005	0.791	0.018	0.114
nort2935	0.011	0.010	0.005	0.008	0.005	0.011	0.950
gaga1249	0.133	0.304	0.447	0.007	0.006	0.096	0.007
tara1319	0.011	0.011	0.010	0.007	0.008	0.011	0.943
moma1245	0.028	0.030	0.031	0.012	0.865	0.029	0.005
manc1252	0.310	0.194	0.007	0.033	0.081	0.357	0.017
shor1247	0.012	0.026	0.921	0.015	0.013	0.010	0.004
kaza1248	0.007	0.009	0.958	0.011	0.004	0.006	0.005
midd1351	0.024	0.023	0.020	0.826	0.077	0.023	0.007
chag1247	0.004	0.005	0.968	0.009	0.006	0.005	0.003
huih1238	0.009	0.009	0.015	0.039	0.915	0.009	0.004
ordo1245	0.013	0.011	0.007	0.929	0.006	0.012	0.022
turk1303	0.036	0.052	0.825	0.040	0.009	0.034	0.003
negi1245	0.006	0.006	0.013	0.009	0.956	0.007	0.004
nana1257	0.039	0.025	0.008	0.021	0.839	0.044	0.025
nort2690	0.004	0.003	0.978	0.004	0.004	0.004	0.002
shur1243	0.003	0.003	0.003	0.003	0.003	0.003	0.983
minh1238	0.066	0.041	0.013	0.808	0.012	0.053	0.008
udih1248	0.031	0.026	0.021	0.015	0.879	0.024	0.005
oira1262	0.009	0.008	0.016	0.950	0.007	0.008	0.002
hate1238	0.020	0.017	0.008	0.007	0.013	0.020	0.914
tata1255	0.017	0.038	0.900	0.013	0.011	0.018	0.002
turk1304	0.003	0.004	0.978	0.005	0.004	0.004	0.002
oroc1248	0.004	0.004	0.006	0.004	0.974	0.004	0.003
chuv1255	0.193	0.134	0.353	0.056	0.040	0.220	0.005
noga1249	0.004	0.005	0.974	0.006	0.006	0.004	0.002
dong1285	0.012	0.009	0.022	0.913	0.031	0.010	0.004
halh1238	0.038	0.045	0.041	0.842	0.004	0.026	0.004
ogam1239	0.048	0.034	0.005	0.020	0.109	0.062	0.722
cent2126	0.009	0.008	0.005	0.005	0.009	0.009	0.955
yona1241	0.008	0.007	0.005	0.007	0.014	0.009	0.951
kore1280	0.140	0.103	0.005	0.003	0.005	0.144	0.600
tuvi1240	0.122	0.245	0.487	0.015	0.013	0.112	0.007
huzh1238	0.016	0.010	0.007	0.942	0.004	0.016	0.006
khak1248	0.037	0.061	0.808	0.008	0.039	0.029	0.018
oldu1238	0.059	0.052	0.700	0.075	0.046	0.056	0.012
nucl1643	0.038	0.028	0.002	0.004	0.003	0.048	0.877
orok1265	0.014	0.011	0.012	0.013	0.932	0.013	0.006
midd1372	0.040	0.028	0.008	0.029	0.004	0.040	0.852
mogh1245	0.017	0.010	0.064	0.734	0.155	0.016	0.005
uigh1240	0.005	0.006	0.967	0.010	0.004	0.005	0.004
kara1467	0.012	0.010	0.948	0.011	0.004	0.011	0.003
russ1264	0.032	0.045	0.248	0.634	0.007	0.028	0.006
sout2954	0.018	0.035	0.005	0.004	0.002	0.015	0.921
berj1234	0.015	0.016	0.007	0.019	0.907	0.017	0.020
kham1281	0.027	0.021	0.052	0.851	0.011	0.034	0.005
dolg1241	0.216	0.462	0.113	0.021	0.008	0.174	0.006
