Language	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7	Pop8	Pop9
torg1245	0.126	0.133	0.177	0.161	0.161	0.173	0.032	0.009	0.028
oldj1239	0.031	0.043	0.005	0.072	0.061	0.062	0.003	0.711	0.012
crim1257	0.018	0.019	0.007	0.016	0.016	0.016	0.859	0.036	0.012
bash1264	0.227	0.172	0.007	0.050	0.056	0.036	0.428	0.005	0.019
anat1259	0.006	0.005	0.006	0.004	0.005	0.003	0.964	0.003	0.004
okin1246	0.003	0.003	0.003	0.003	0.003	0.003	0.004	0.974	0.004
yaku1245	0.343	0.323	0.008	0.102	0.111	0.063	0.034	0.007	0.008
daur1238	0.013	0.016	0.820	0.013	0.043	0.014	0.011	0.004	0.066
east2337	0.185	0.146	0.449	0.032	0.078	0.085	0.011	0.007	0.007
ikem1235	0.064	0.062	0.044	0.065	0.065	0.067	0.023	0.556	0.053
sibe1251	0.005	0.005	0.011	0.007	0.006	0.006	0.014	0.003	0.942
nort2697	0.014	0.007	0.008	0.006	0.007	0.006	0.946	0.002	0.005
bona1250	0.128	0.151	0.109	0.209	0.190	0.194	0.008	0.004	0.007
ulch1241	0.013	0.011	0.005	0.015	0.014	0.014	0.034	0.119	0.775
nort2935	0.011	0.011	0.009	0.013	0.012	0.012	0.005	0.921	0.006
gaga1249	0.261	0.204	0.007	0.060	0.064	0.037	0.355	0.006	0.006
tara1319	0.011	0.011	0.007	0.010	0.010	0.011	0.008	0.926	0.007
moma1245	0.024	0.025	0.013	0.032	0.032	0.028	0.030	0.004	0.812
manc1252	0.093	0.136	0.033	0.219	0.209	0.230	0.007	0.015	0.059
shor1247	0.026	0.018	0.019	0.011	0.009	0.009	0.891	0.004	0.013
kaza1248	0.015	0.008	0.011	0.006	0.006	0.006	0.940	0.005	0.004
midd1351	0.022	0.022	0.797	0.020	0.047	0.020	0.015	0.007	0.050
chag1247	0.006	0.005	0.008	0.004	0.005	0.005	0.959	0.003	0.005
huih1238	0.013	0.011	0.046	0.008	0.009	0.010	0.012	0.003	0.888
ordo1245	0.195	0.145	0.484	0.013	0.065	0.066	0.008	0.017	0.006
turk1303	0.046	0.041	0.057	0.029	0.036	0.027	0.752	0.003	0.010
negi1245	0.005	0.005	0.010	0.006	0.006	0.006	0.011	0.004	0.946
nana1257	0.025	0.027	0.014	0.034	0.031	0.035	0.007	0.026	0.800
nort2690	0.004	0.004	0.004	0.003	0.003	0.004	0.973	0.002	0.003
shur1243	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.979	0.003
minh1238	0.179	0.139	0.415	0.057	0.086	0.091	0.014	0.007	0.013
udih1248	0.021	0.025	0.015	0.024	0.021	0.022	0.017	0.004	0.851
oira1262	0.007	0.008	0.909	0.007	0.043	0.008	0.011	0.002	0.005
hate1238	0.014	0.015	0.008	0.019	0.019	0.021	0.007	0.881	0.014
tata1255	0.036	0.028	0.010	0.015	0.019	0.015	0.866	0.002	0.009
turk1304	0.004	0.004	0.005	0.003	0.004	0.003	0.972	0.002	0.004
oroc1248	0.004	0.004	0.004	0.004	0.004	0.004	0.006	0.004	0.966
chuv1255	0.085	0.096	0.032	0.144	0.134	0.131	0.331	0.004	0.041
noga1249	0.004	0.004	0.005	0.004	0.004	0.004	0.968	0.002	0.005
dong1285	0.034	0.020	0.804	0.014	0.051	0.016	0.025	0.004	0.031
halh1238	0.216	0.167	0.409	0.024	0.072	0.078	0.028	0.004	0.004
ogam1239	0.032	0.034	0.014	0.052	0.050	0.048	0.005	0.682	0.085
cent2126	0.008	0.007	0.005	0.009	0.008	0.009	0.005	0.942	0.007
yona1241	0.007	0.008	0.008	0.009	0.009	0.009	0.005	0.933	0.012
kore1280	0.050	0.063	0.008	0.106	0.098	0.085	0.005	0.580	0.004
tuvi1240	0.205	0.166	0.015	0.067	0.079	0.060	0.389	0.006	0.013
huzh1238	0.196	0.132	0.510	0.015	0.071	0.058	0.008	0.005	0.004
khak1248	0.045	0.037	0.010	0.028	0.027	0.028	0.771	0.017	0.036
oldu1238	0.049	0.048	0.046	0.045	0.047	0.046	0.666	0.009	0.044
nucl1643	0.021	0.021	0.005	0.037	0.034	0.038	0.002	0.839	0.003
orok1265	0.012	0.011	0.016	0.011	0.013	0.013	0.013	0.006	0.904
midd1372	0.029	0.032	0.021	0.032	0.040	0.035	0.007	0.801	0.003
mogh1245	0.011	0.015	0.744	0.010	0.036	0.015	0.049	0.004	0.116
uigh1240	0.007	0.006	0.009	0.005	0.006	0.005	0.955	0.004	0.004
kara1467	0.008	0.009	0.014	0.011	0.012	0.011	0.929	0.003	0.004
russ1264	0.103	0.089	0.370	0.028	0.062	0.039	0.299	0.005	0.007
sout2954	0.026	0.022	0.004	0.013	0.013	0.011	0.003	0.906	0.003
berj1234	0.016	0.014	0.022	0.014	0.015	0.015	0.007	0.016	0.881
kham1281	0.038	0.049	0.676	0.040	0.063	0.041	0.077	0.005	0.011
dolg1241	0.343	0.321	0.014	0.101	0.109	0.055	0.047	0.004	0.007
