Run;K;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
34;7;-2621.0;-2090.6;1060.7;0.0491
48;5;-3988.5;-2215.2;3546.6;0.0611
47;8;-2499.1;-2078.6;840.9;0.0463
23;5;-2329.7;-2168.4;322.7;0.0624
3;5;-2342.9;-2165.6;354.6;0.0611
3;10;-2415.4;-2079.4;671.9;0.0418
24;6;-2535.3;-2120.9;828.9;0.0537
9;9;-2441.8;-2073.1;737.4;0.0431
8;2;-2733.0;-2646.4;173.1;0.1214
33;4;-2346.2;-2188.7;315.1;0.0551
9;10;-2495.6;-2079.4;832.3;0.0409
9;5;-2330.3;-2168.5;323.5;0.0613
26;8;-2547.7;-2086.0;923.4;0.046
29;5;-2339.8;-2165.6;348.5;0.062
42;5;-2346.8;-2163.0;367.7;0.059
2;2;-2732.2;-2646.4;171.5;0.1184
39;4;-2344.0;-2188.5;310.9;0.0542
36;9;-2461.1;-2071.4;779.5;0.043
45;6;-2481.7;-2118.3;726.7;0.0541
10;3;-2507.1;-2384.2;245.9;0.0656
3;9;-2468.2;-2074.9;786.5;0.0429
21;10;-2691.3;-2072.5;1237.6;0.0412
19;9;-2587.7;-2077.6;1020.0;0.0433
16;4;-2347.4;-2188.4;318.0;0.0546
5;4;-2501.0;-2192.0;617.9;0.0563
44;2;-2732.4;-2646.3;172.2;0.1208
11;7;-2680.3;-2089.4;1181.8;0.0485
40;10;-3003.2;-2087.0;1832.6;0.0413
35;3;-2505.8;-2384.5;242.6;0.0662
13;9;-2777.3;-2093.4;1367.8;0.0436
25;2;-2732.1;-2646.5;171.2;0.1179
4;3;-2507.7;-2384.8;245.8;0.0659
5;8;-2452.6;-2075.2;754.8;0.0449
18;4;-2344.5;-2188.0;313.1;0.0535
17;9;-2505.3;-2075.3;860.0;0.0435
44;10;-2663.5;-2097.4;1132.1;0.0412
31;3;-2506.9;-2384.3;245.1;0.0659
1;8;-2662.1;-2087.6;1149.0;0.0458
21;2;-2731.6;-2646.1;170.9;0.1192
1;4;-2347.4;-2188.4;318.1;0.0544
