Run;K;sample;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
45;9;10;-944.4;-481.5;925.9;0.2504
15;7;4;-651.2;-548.0;206.6;1.464
31;2;1;-694.7;-592.9;203.6;0.1135
47;8;9;-977.4;-489.8;975.2;0.087
48;5;9;-1119.1;-488.8;1260.5;0.2136
42;10;8;-827.0;-412.7;828.5;0.0696
14;8;3;-532.8;-512.7;40.2;7.2343
2;7;4;-1010.5;-539.4;942.2;3.445
38;6;8;-539.7;-407.7;264.0;0.0802
5;4;10;-584.4;-455.3;258.2;0.0918
19;6;5;-619.3;-416.6;405.3;0.0742
44;4;8;-495.3;-410.1;170.4;0.1308
17;4;2;-602.6;-483.0;239.2;0.1249
18;9;2;-609.0;-482.2;253.6;0.0714
43;2;6;-572.3;-505.1;134.4;0.218
36;6;10;-631.9;-462.1;339.6;0.0787
27;3;5;-631.3;-417.4;427.8;0.0851
34;7;9;-894.6;-460.1;869.0;0.0612
16;7;6;-721.1;-446.2;549.9;0.0536
32;2;3;-555.0;-450.4;209.3;0.1093
9;4;3;-647.4;-433.3;428.3;0.1053
20;9;8;-515.9;-410.3;211.2;0.0614
6;5;2;-590.5;-482.9;215.2;0.0939
17;8;1;-3380.0;-566.4;5627.2;0.9872
31;10;9;-1034.9;-481.6;1106.6;0.0596
18;5;1;-770.6;-504.3;532.6;0.0526
3;10;9;-1073.9;-462.0;1223.8;0.0549
28;2;6;-918.6;-517.6;802.0;1.0101
29;10;8;-556.8;-538.7;36.2;5.985
5;7;8;-505.0;-408.2;193.6;0.074
23;5;9;-830.5;-476.3;708.3;0.0827
21;4;10;-1790.5;-517.1;2546.7;2.6273
40;2;4;-686.0;-505.2;361.6;0.1955
24;3;7;-575.9;-454.6;242.5;0.1202
12;8;7;-626.1;-447.4;357.5;0.0687
5;6;7;-668.5;-446.5;444.0;0.0793
3;8;3;-1196.9;-479.2;1435.3;1.3305
24;6;9;-863.0;-473.0;780.1;0.0718
26;7;10;-621.1;-464.1;314.0;0.0759
37;2;5;-553.4;-443.2;220.5;0.0773
18;2;10;-547.7;-467.4;160.4;0.0762
49;3;3;-604.9;-441.0;327.9;0.1355
11;4;6;-633.6;-439.8;387.6;0.0646
19;10;6;-646.7;-450.8;391.8;0.051
28;7;8;-538.6;-408.2;260.8;0.0708
21;3;1;-714.6;-536.9;355.3;0.0651
16;2;8;-536.7;-445.0;183.5;0.1073
