Language	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7	Pop8	Pop9	Pop10
torg1245	0.113	0.181	0.084	0.008	0.014	0.078	0.124	0.088	0.115	0.194
oldj1239	0.045	0.056	0.078	0.503	0.006	0.055	0.051	0.080	0.069	0.056
crim1257	0.015	0.017	0.017	0.005	0.855	0.019	0.018	0.020	0.017	0.017
bash1264	0.033	0.025	0.025	0.018	0.781	0.025	0.025	0.022	0.026	0.021
anat1259	0.009	0.009	0.009	0.007	0.921	0.010	0.010	0.009	0.009	0.007
okin1246	0.014	0.013	0.011	0.881	0.012	0.014	0.013	0.013	0.014	0.014
yaku1245	0.091	0.106	0.116	0.010	0.061	0.123	0.119	0.119	0.124	0.132
daur1238	0.180	0.242	0.011	0.005	0.008	0.009	0.127	0.010	0.058	0.352
east2337	0.137	0.213	0.064	0.012	0.020	0.053	0.117	0.066	0.090	0.227
ikem1235	0.007	0.008	0.009	0.925	0.008	0.009	0.009	0.009	0.009	0.007
sibe1251	0.087	0.096	0.150	0.004	0.022	0.147	0.145	0.137	0.129	0.084
nort2697	0.018	0.013	0.016	0.006	0.865	0.018	0.017	0.016	0.016	0.014
bona1250	0.117	0.145	0.112	0.007	0.006	0.095	0.103	0.140	0.120	0.155
ulch1241	0.096	0.096	0.108	0.081	0.007	0.141	0.164	0.111	0.111	0.086
nort2935	0.014	0.014	0.014	0.858	0.023	0.016	0.017	0.015	0.014	0.015
gaga1249	0.144	0.040	0.046	0.009	0.540	0.068	0.040	0.050	0.035	0.030
tara1319	0.008	0.008	0.009	0.928	0.005	0.010	0.009	0.008	0.008	0.008
moma1245	0.167	0.093	0.130	0.023	0.011	0.133	0.101	0.135	0.121	0.087
manc1252	0.076	0.108	0.167	0.023	0.010	0.117	0.109	0.148	0.139	0.101
shor1247	0.012	0.012	0.011	0.009	0.902	0.010	0.011	0.011	0.011	0.011
kaza1248	0.010	0.010	0.011	0.007	0.910	0.010	0.010	0.010	0.011	0.012
midd1351	0.098	0.127	0.104	0.006	0.022	0.128	0.123	0.108	0.109	0.177
chag1247	0.041	0.058	0.066	0.017	0.493	0.067	0.067	0.065	0.061	0.064
huih1238	0.102	0.094	0.096	0.009	0.107	0.142	0.152	0.093	0.100	0.105
ordo1245	0.086	0.120	0.131	0.030	0.041	0.107	0.114	0.120	0.121	0.131
turk1303	0.125	0.030	0.038	0.004	0.602	0.064	0.033	0.042	0.034	0.028
negi1245	0.131	0.094	0.118	0.013	0.055	0.135	0.135	0.116	0.120	0.084
nana1257	0.102	0.089	0.108	0.066	0.006	0.144	0.165	0.112	0.122	0.086
nort2690	0.030	0.034	0.038	0.022	0.690	0.042	0.037	0.035	0.040	0.033
shur1243	0.007	0.007	0.006	0.940	0.008	0.006	0.007	0.006	0.006	0.007
minh1238	0.078	0.125	0.152	0.020	0.004	0.113	0.106	0.160	0.115	0.127
udih1248	0.075	0.103	0.164	0.003	0.023	0.122	0.121	0.144	0.156	0.089
oira1262	0.147	0.209	0.024	0.007	0.053	0.026	0.129	0.026	0.067	0.313
hate1238	0.026	0.042	0.050	0.655	0.029	0.037	0.038	0.044	0.044	0.036
tata1255	0.022	0.020	0.022	0.020	0.802	0.023	0.021	0.024	0.026	0.020
turk1304	0.009	0.011	0.012	0.007	0.908	0.010	0.010	0.013	0.011	0.010
oroc1248	0.193	0.086	0.103	0.032	0.085	0.127	0.097	0.108	0.094	0.073
chuv1255	0.025	0.032	0.036	0.005	0.734	0.033	0.034	0.035	0.037	0.028
noga1249	0.011	0.012	0.011	0.008	0.899	0.013	0.010	0.010	0.013	0.012
dong1285	0.140	0.198	0.055	0.006	0.038	0.048	0.114	0.057	0.083	0.261
halh1238	0.176	0.231	0.015	0.018	0.007	0.016	0.125	0.016	0.064	0.332
ogam1239	0.031	0.041	0.048	0.656	0.015	0.035	0.042	0.052	0.044	0.035
cent2126	0.012	0.009	0.011	0.906	0.008	0.013	0.011	0.011	0.011	0.009
yona1241	0.011	0.010	0.011	0.908	0.007	0.011	0.012	0.011	0.010	0.010
kore1280	0.029	0.043	0.050	0.639	0.013	0.038	0.052	0.041	0.052	0.041
tuvi1240	0.149	0.090	0.091	0.092	0.098	0.105	0.100	0.103	0.081	0.090
huzh1238	0.098	0.142	0.138	0.007	0.009	0.108	0.125	0.122	0.140	0.112
khak1248	0.007	0.007	0.006	0.004	0.949	0.006	0.005	0.005	0.005	0.006
oldu1238	0.037	0.051	0.060	0.003	0.573	0.060	0.048	0.063	0.059	0.047
nucl1643	0.029	0.033	0.042	0.714	0.004	0.037	0.033	0.041	0.037	0.031
orok1265	0.093	0.078	0.109	0.080	0.047	0.147	0.156	0.097	0.111	0.081
midd1372	0.051	0.052	0.058	0.526	0.022	0.060	0.056	0.056	0.065	0.053
mogh1245	0.237	0.115	0.102	0.012	0.009	0.131	0.097	0.106	0.096	0.095
uigh1240	0.039	0.051	0.054	0.008	0.580	0.058	0.056	0.056	0.054	0.044
kara1467	0.017	0.017	0.015	0.030	0.835	0.018	0.017	0.017	0.018	0.016
russ1264	0.146	0.181	0.072	0.018	0.022	0.066	0.119	0.064	0.095	0.216
sout2954	0.006	0.005	0.005	0.950	0.008	0.006	0.005	0.005	0.005	0.005
berj1234	0.310	0.088	0.090	0.015	0.021	0.148	0.089	0.099	0.087	0.054
kham1281	0.087	0.158	0.118	0.010	0.032	0.089	0.122	0.113	0.130	0.139
dolg1241	0.079	0.114	0.096	0.025	0.144	0.104	0.106	0.087	0.115	0.130	
