Language & Mongolo-Koreanic & Tungusic & Japonic & Turkic & Family\\ 
CrimeanTatar & 0.01 & 0.008 & 0.007 & 0.975 & Turkic\\ 
Bashkir & 0.012 & 0.008 & 0.007 & 0.973 & Turkic\\ 
Turkish & 0.014 & 0.007 & 0.023 & 0.956 & Turkic\\ 
Yakut & 0.043 & 0.059 & 0.017 & 0.882 & Turkic\\ 
Azerbaijani & 0.016 & 0.007 & 0.022 & 0.954 & Turkic\\ 
Gagauz & 0.017 & 0.009 & 0.038 & 0.936 & Turkic\\ 
Shor & 0.011 & 0.011 & 0.009 & 0.968 & Turkic\\ 
Kazakh & 0.012 & 0.009 & 0.007 & 0.972 & Turkic\\ 
Chagatai & 0.512 & 0.074 & 0.124 & 0.29 & Turkic\\ 
Khalaj & 0.012 & 0.012 & 0.01 & 0.967 & Turkic\\ 
NorthernUzbek & 0.434 & 0.019 & 0.105 & 0.443 & Turkic\\ 
Tatar & 0.011 & 0.009 & 0.007 & 0.973 & Turkic\\ 
Turkmen & 0.012 & 0.012 & 0.009 & 0.967 & Turkic\\ 
Chuvash & 0.291 & 0.016 & 0.032 & 0.661 & Turkic\\ 
Nogai & 0.135 & 0.047 & 0.032 & 0.786 & Turkic\\ 
Tuvan & 0.266 & 0.041 & 0.014 & 0.678 & Turkic\\ 
Khakas & 0.011 & 0.011 & 0.009 & 0.969 & Turkic\\ 
OldTurkic & 0.011 & 0.016 & 0.009 & 0.964 & Turkic\\ 
Uighur & 0.012 & 0.008 & 0.008 & 0.971 & Turkic\\ 
KaraKalpak & 0.014 & 0.01 & 0.008 & 0.968 & Turkic\\ 
Dolgan & 0.012 & 0.012 & 0.009 & 0.967 & Turkic\\ 
Evenki & 0.011 & 0.962 & 0.006 & 0.021 & Tungusic\\ 
Ulch & 0.094 & 0.652 & 0.011 & 0.243 & Tungusic\\ 
MomaEven & 0.037 & 0.927 & 0.013 & 0.022 & Tungusic\\ 
Manchu & 0.327 & 0.434 & 0.031 & 0.209 & Tungusic\\ 
Solon & 0.055 & 0.872 & 0.025 & 0.048 & Tungusic\\ 
Negidal & 0.015 & 0.954 & 0.022 & 0.009 & Tungusic\\ 
Nanai & 0.017 & 0.958 & 0.012 & 0.013 & Tungusic\\ 
Udihe & 0.027 & 0.929 & 0.018 & 0.026 & Tungusic\\ 
Oroch & 0.024 & 0.93 & 0.017 & 0.029 & Tungusic\\ 
Orok & 0.013 & 0.963 & 0.016 & 0.008 & Tungusic\\ 
BeryozovkaEven & 0.014 & 0.966 & 0.01 & 0.011 & Tungusic\\ 
Kalmyk & 0.025 & 0.019 & 0.015 & 0.941 & Mongolic\\ 
Dagur & 0.598 & 0.023 & 0.009 & 0.37 & Mongolic\\ 
ShiraYughur & 0.942 & 0.024 & 0.011 & 0.022 & Mongolic\\ 
Bonan & 0.884 & 0.055 & 0.047 & 0.013 & Mongolic\\ 
MiddleMongol & 0.135 & 0.046 & 0.033 & 0.785 & Mongolic\\ 
Ordos & 0.6 & 0.022 & 0.009 & 0.369 & Mongolic\\ 
Mangghuer & 0.926 & 0.008 & 0.057 & 0.009 & Mongolic\\ 
Oirat & 0.21 & 0.02 & 0.012 & 0.758 & Mongolic\\ 
Dongxiang & 0.943 & 0.024 & 0.014 & 0.019 & Mongolic\\ 
Khalkha & 0.853 & 0.027 & 0.018 & 0.102 & Mongolic\\ 
Mongghul & 0.946 & 0.012 & 0.03 & 0.012 & Mongolic\\ 
Moghol & 0.243 & 0.213 & 0.06 & 0.484 & Mongolic\\ 
Buriat & 0.017 & 0.016 & 0.013 & 0.954 & Mongolic\\ 
KhamniganMongol & 0.049 & 0.06 & 0.017 & 0.875 & Mongolic\\ 
Korean & 0.954 & 0.01 & 0.025 & 0.011 & Koreanic\\ 
MiddleKorean & 0.961 & 0.018 & 0.013 & 0.007 & Koreanic\\ 
EasternOldJapanese & 0.294 & 0.611 & 0.063 & 0.032 & Japonic\\ 
Okinoerabu & 0.01 & 0.009 & 0.971 & 0.01 & Japonic\\ 
Ikema & 0.017 & 0.009 & 0.965 & 0.009 & Japonic\\ 
Ura & 0.023 & 0.02 & 0.945 & 0.012 & Japonic\\ 
Tarama & 0.013 & 0.007 & 0.973 & 0.008 & Japonic\\ 
Shuri & 0.015 & 0.014 & 0.963 & 0.008 & Japonic\\ 
Hateruma & 0.058 & 0.045 & 0.834 & 0.063 & Japonic\\ 
Ogami & 0.153 & 0.011 & 0.828 & 0.008 & Japonic\\ 
Tsuken & 0.014 & 0.011 & 0.962 & 0.013 & Japonic\\ 
Yonaguni & 0.922 & 0.038 & 0.029 & 0.011 & Japonic\\ 
Japanese & 0.011 & 0.009 & 0.97 & 0.01 & Japonic\\ 
Yuwan & 0.014 & 0.014 & 0.964 & 0.008 & Japonic\\ 
