Language	Pop1	Pop2	Pop3
Turkish	0.964	0.013	0.023
Bashkir	0.978	0.012	0.010
BeryozovkaE	0.016	0.969	0.015
Bonan	0.020	0.399	0.581
Tsuken	0.023	0.028	0.949
Chagatai	0.425	0.212	0.363
Chuvash	0.877	0.068	0.055
CrimeanTata	0.978	0.012	0.010
Dagur	0.804	0.152	0.044
Dolgan	0.974	0.014	0.012
Dongxiang	0.038	0.381	0.581
ShiraYughur	0.539	0.234	0.227
Gagauz	0.953	0.014	0.033
Khalkha	0.408	0.310	0.282
Hateruma	0.063	0.072	0.865
Solon	0.055	0.909	0.036
Mongghul	0.025	0.334	0.641
Ikema	0.014	0.015	0.971
KaraKalpak	0.974	0.014	0.012
Kazakh	0.977	0.013	0.010
Khakas	0.975	0.014	0.011
KhamniganMo	0.941	0.043	0.016
Korean	0.033	0.352	0.615
Manchu	0.183	0.681	0.136
MiddleMongo	0.819	0.102	0.078
MiddleKorea	0.010	0.387	0.603
Mangghuer	0.020	0.288	0.693
Moghol	0.423	0.362	0.216
MomaEven	0.034	0.943	0.023
Nanai	0.018	0.966	0.017
Negidal	0.011	0.961	0.028
Nogai	0.824	0.095	0.081
NorthernUzb	0.480	0.119	0.401
Azerbaijani	0.962	0.013	0.024
Ura	0.018	0.047	0.935
Japanese	0.016	0.017	0.967
Ogami	0.011	0.036	0.954
Oirat	0.908	0.066	0.026
Okinoerabu	0.016	0.016	0.968
EasternOldJ	0.024	0.721	0.254
OldTurkic	0.967	0.021	0.013
Ordos	0.800	0.152	0.048
Oroch	0.025	0.957	0.018
Orok	0.012	0.966	0.022
Buriat	0.960	0.024	0.016
Shor	0.974	0.015	0.011
Shuri	0.013	0.025	0.962
Evenki	0.028	0.963	0.009
Yuwan	0.013	0.025	0.962
Tarama	0.012	0.012	0.976
Tatar	0.978	0.012	0.010
Kalmyk	0.954	0.024	0.022
Khalaj	0.973	0.015	0.012
Turkmen	0.975	0.014	0.011
Tuvan	0.892	0.081	0.026
Udihe	0.033	0.944	0.023
Uighur	0.976	0.012	0.012
Ulch	0.301	0.674	0.025
Yakut	0.939	0.044	0.017
Yonaguni	0.016	0.382	0.602
