Language	Pop1	Pop2	Pop3	Pop4	Pop5
Turkish	0.041	0.023	0.031	0.898	0.007
Bashkir	0.029	0.006	0.020	0.937	0.008
BeryozovkaE	0.012	0.010	0.012	0.010	0.956
Bonan	0.379	0.041	0.516	0.012	0.052
Tsuken	0.012	0.952	0.013	0.013	0.010
Chagatai	0.301	0.104	0.316	0.229	0.049
Chuvash	0.357	0.032	0.309	0.288	0.014
CrimeanTata	0.030	0.007	0.020	0.936	0.008
Dagur	0.543	0.007	0.408	0.031	0.011
Dolgan	0.133	0.010	0.106	0.740	0.012
Dongxiang	0.418	0.014	0.529	0.019	0.020
ShiraYughur	0.479	0.015	0.453	0.044	0.010
Gagauz	0.112	0.042	0.085	0.751	0.010
Khalkha	0.450	0.020	0.464	0.039	0.028
Hateruma	0.043	0.814	0.044	0.061	0.037
Solon	0.049	0.023	0.051	0.041	0.836
Mongghul	0.414	0.034	0.531	0.010	0.011
Ikema	0.012	0.957	0.014	0.009	0.008
KaraKalpak	0.028	0.008	0.026	0.929	0.009
Kazakh	0.028	0.007	0.018	0.939	0.007
Khakas	0.150	0.009	0.119	0.710	0.012
KhamniganMo	0.371	0.015	0.273	0.294	0.046
Korean	0.442	0.027	0.511	0.010	0.010
Manchu	0.154	0.026	0.200	0.232	0.388
MiddleMongo	0.090	0.027	0.099	0.747	0.037
MiddleKorea	0.406	0.013	0.556	0.006	0.019
Mangghuer	0.393	0.065	0.527	0.009	0.007
Moghol	0.131	0.056	0.158	0.494	0.161
MomaEven	0.031	0.013	0.032	0.018	0.907
Nanai	0.014	0.011	0.014	0.012	0.949
Negidal	0.013	0.018	0.014	0.007	0.947
Nogai	0.101	0.028	0.100	0.735	0.036
NorthernUzb	0.195	0.093	0.257	0.439	0.015
Azerbaijani	0.041	0.023	0.029	0.900	0.007
Ura	0.018	0.939	0.016	0.010	0.018
Japanese	0.009	0.962	0.010	0.010	0.008
Ogami	0.086	0.792	0.106	0.006	0.010
Oirat	0.392	0.012	0.325	0.256	0.015
Okinoerabu	0.009	0.962	0.011	0.010	0.008
EasternOldJ	0.139	0.061	0.204	0.036	0.560
OldTurkic	0.144	0.009	0.111	0.720	0.015
Ordos	0.545	0.007	0.405	0.032	0.012
Oroch	0.019	0.016	0.020	0.025	0.921
Orok	0.009	0.014	0.011	0.007	0.959
Buriat	0.142	0.012	0.115	0.711	0.019
Shor	0.140	0.009	0.115	0.724	0.012
Shuri	0.013	0.955	0.013	0.007	0.013
Evenki	0.014	0.006	0.013	0.017	0.951
Yuwan	0.012	0.956	0.013	0.007	0.013
Tarama	0.010	0.964	0.012	0.007	0.007
Tatar	0.027	0.007	0.022	0.937	0.008
Kalmyk	0.141	0.017	0.118	0.707	0.017
Khalaj	0.146	0.010	0.106	0.726	0.012
Turkmen	0.146	0.009	0.111	0.722	0.011
Tuvan	0.511	0.010	0.372	0.089	0.020
Udihe	0.024	0.017	0.023	0.021	0.916
Uighur	0.032	0.008	0.023	0.929	0.008
Ulch	0.172	0.011	0.140	0.116	0.562
Yakut	0.360	0.015	0.260	0.317	0.048
Yonaguni	0.407	0.030	0.518	0.011	0.034
