Id	Taxon	Delta Score 	Q-residual
1	Turkish	0.34332	0.028195
2	Bashkir	0.38357	0.032591
3	BeryozovkaEven	0.35013	0.041689
4	Bonan	0.36065	0.036683
5	Tsuken	0.32589	0.035137
6	Chagatai	0.38115	0.028419
7	Chuvash	0.38612	0.028606
8	CrimeanTatar	0.354	0.029932
9	Dagur	0.3591	0.031017
10	Dolgan	0.38186	0.029009
11	Dongxiang	0.37671	0.030344
12	ShiraYughur	0.35315	0.034542
13	Gagauz	0.36752	0.03175
14	Khalkha	0.35671	0.033054
15	Hateruma	0.33222	0.03763
16	Solon	0.37038	0.033527
17	Mongghul	0.3586	0.040466
18	Ikema	0.3291	0.03529
19	KaraKalpak	0.35273	0.02613
20	Kazakh	0.35877	0.031861
21	Khakas	0.37883	0.030382
22	KhamniganMongol	0.39338	0.031439
23	Korean	0.33241	0.041034
24	Manchu	0.37695	0.032187
25	MiddleMongol	0.38947	0.032462
26	MiddleKorean	0.33202	0.0454
27	Mangghuer	0.37041	0.046649
28	Moghol	0.40461	0.037602
29	MomaEven	0.36605	0.037708
30	Nanai	0.35179	0.037996
31	Negidal	0.33789	0.031099
32	Nogai	0.36682	0.026888
33	NorthernUzbek	0.36767	0.028982
34	Azerbaijani	0.34988	0.027334
35	Ura	0.31104	0.03396
36	Japanese	0.30597	0.038517
37	Ogami	0.31639	0.037919
38	Oirat	0.39432	0.038936
39	Okinoerabu	0.31226	0.035806
40	EasternOldJapanese	0.31577	0.037972
41	OldTurkic	0.39801	0.036996
42	Ordos	0.39263	0.033142
43	Oroch	0.35378	0.038473
44	Orok	0.34744	0.034991
45	Buriat	0.38794	0.029163
46	Shor	0.3582	0.025343
47	Shuri	0.30031	0.029729
48	Evenki	0.35583	0.035285
49	Yuwan	0.31284	0.035502
50	Tarama	0.3146	0.03541
51	Tatar	0.35334	0.024713
52	Kalmyk	0.38783	0.032486
53	Khalaj	0.3803	0.041583
54	Turkmen	0.34629	0.027126
55	Tuvan	0.39266	0.030336
56	Udihe	0.38105	0.038089
57	Uighur	0.3705	0.036846
58	Ulch	0.35899	0.03458
59	Yakut	0.3912	0.030843
60	Yonaguni	0.30513	0.033676
