Language	Pop1	Pop2	Pop3
Turkish	0.973	0.014	0.013
Bashkir	0.932	0.033	0.035
BeryozovkaE	0.403	0.129	0.468
Bonan	0.013	0.023	0.964
Tsuken	0.022	0.959	0.019
Chagatai	0.870	0.036	0.094
Chuvash	0.862	0.014	0.124
CrimeanTata	0.964	0.012	0.024
Dagur	0.026	0.017	0.957
Dolgan	0.227	0.067	0.706
Dongxiang	0.073	0.014	0.913
ShiraYughur	0.028	0.022	0.950
Gagauz	0.904	0.039	0.057
Khalkha	0.017	0.018	0.965
Hateruma	0.085	0.842	0.074
Solon	0.248	0.023	0.729
Mongghul	0.019	0.018	0.963
Ikema	0.014	0.976	0.010
KaraKalpak	0.925	0.045	0.030
Kazakh	0.972	0.013	0.015
Khakas	0.980	0.009	0.011
KhamnigalMo	0.072	0.033	0.895
Korean	0.032	0.797	0.171
Manchu	0.025	0.061	0.913
MiddleMongo	0.047	0.012	0.940
MiddleKorea	0.072	0.812	0.116
Mangghuer	0.013	0.075	0.912
Moghol	0.068	0.044	0.888
MomaEven	0.067	0.209	0.724
Nanai	0.017	0.250	0.732
Negidal	0.360	0.072	0.567
Nogai	0.964	0.016	0.020
NorthernUzb	0.918	0.041	0.041
Azerbaijani	0.964	0.012	0.024
Ura	0.041	0.938	0.022
Japanese	0.012	0.890	0.098
Ogami	0.055	0.881	0.064
Oirat	0.106	0.021	0.873
Okinoerabu	0.025	0.953	0.022
EasternOldJ	0.023	0.859	0.118
OldTurkic	0.871	0.012	0.117
Ordos	0.103	0.061	0.837
Oroch	0.362	0.161	0.477
Orok	0.147	0.268	0.584
Buriat	0.043	0.033	0.924
Shor	0.964	0.016	0.020
Shuri	0.019	0.968	0.014
Evenki	0.159	0.011	0.830
Yuwan	0.012	0.979	0.008
Tarama	0.012	0.973	0.015
Tatar	0.941	0.032	0.027
Kalmyk	0.035	0.023	0.942
Khalaj	0.954	0.012	0.034
Turkmen	0.949	0.025	0.026
Tuvan	0.379	0.304	0.317
Udihe	0.171	0.007	0.821
Uighur	0.900	0.021	0.079
Ulch	0.023	0.361	0.616
Yakut	0.108	0.022	0.870
Yonaguni	0.013	0.965	0.022	
