Language	Pop1	Pop2	Pop3	Pop4
Turkish	0.021	0.018	0.940	0.020
Bashkir	0.055	0.042	0.854	0.048
BeryozovkaE	0.076	0.790	0.098	0.036
Bonan	0.022	0.427	0.018	0.534
Tsuken	0.917	0.023	0.031	0.029
Chagatai	0.047	0.103	0.746	0.104
Chuvash	0.016	0.081	0.745	0.158
CrimeanTata	0.019	0.041	0.905	0.035
Dagur	0.018	0.015	0.023	0.944
Dolgan	0.080	0.076	0.323	0.521
Dongxiang	0.016	0.113	0.090	0.781
ShiraYughur	0.025	0.039	0.038	0.898
Gagauz	0.040	0.281	0.661	0.018
Khalkha	0.029	0.025	0.017	0.929
Hateruma	0.676	0.182	0.102	0.040
Solon	0.043	0.205	0.313	0.439
Mongghul	0.028	0.223	0.025	0.724
Ikema	0.945	0.018	0.023	0.014
KaraKalpak	0.072	0.032	0.856	0.040
Kazakh	0.021	0.021	0.932	0.026
Khakas	0.012	0.013	0.958	0.017
KhamnigalMo	0.037	0.182	0.098	0.683
Korean	0.670	0.167	0.035	0.128
Manchu	0.063	0.791	0.037	0.109
MiddleMongo	0.019	0.198	0.073	0.710
MiddleKorea	0.715	0.096	0.069	0.120
Mangghuer	0.055	0.694	0.015	0.237
Moghol	0.057	0.665	0.036	0.243
MomaEven	0.106	0.779	0.038	0.077
Nanai	0.339	0.115	0.021	0.525
Negidal	0.080	0.493	0.277	0.149
Nogai	0.022	0.021	0.924	0.032
NorthernUzb	0.054	0.061	0.832	0.053
Azerbaijani	0.018	0.041	0.912	0.028
Ura	0.872	0.032	0.066	0.029
Japanese	0.769	0.175	0.013	0.044
Ogami	0.683	0.253	0.042	0.023
Oirat	0.021	0.027	0.071	0.881
Okinoerabu	0.899	0.027	0.042	0.033
EasternOldJ	0.633	0.307	0.020	0.040
OldTurkic	0.011	0.198	0.728	0.063
Ordos	0.082	0.290	0.101	0.527
Oroch	0.179	0.445	0.263	0.113
Orok	0.337	0.186	0.156	0.321
Buriat	0.052	0.069	0.060	0.819
Shor	0.025	0.020	0.921	0.033
Shuri	0.938	0.015	0.024	0.022
Evenki	0.014	0.796	0.102	0.087
Yuwan	0.959	0.011	0.018	0.011
Tarama	0.942	0.019	0.016	0.023
Tatar	0.050	0.041	0.877	0.033
Kalmyk	0.029	0.202	0.052	0.716
Khalaj	0.015	0.207	0.762	0.016
Turkmen	0.026	0.062	0.874	0.038
Tuvan	0.329	0.121	0.268	0.282
Udihe	0.009	0.887	0.063	0.041
Uighur	0.029	0.077	0.805	0.089
Ulch	0.374	0.161	0.022	0.443
Yakut	0.039	0.176	0.189	0.596
Yonaguni	0.902	0.026	0.019	0.054	
