Feature	Missing_percent	Value	EstAncestralFrequency	Pop1	Pop2	Pop3	Pop4
GB020	0.0	0	0.850	0.994	0.851	0.991	0.907
GB020	0.0	1	0.150	0.006	0.149	0.009	0.093
GB021	0.0	0	0.873	0.994	0.874	0.992	0.947
GB021	0.0	1	0.127	0.006	0.126	0.008	0.053
GB022	1.7	1	0.249	0.012	0.247	0.608	0.118
GB022	1.70	0.751	0.988	0.753	0.392	0.882
GB023	0.0	0	0.799	0.991	0.798	0.988	0.889
GB023	0.0	1	0.201	0.009	0.202	0.012	0.111
GB026	51.7	1	0.380	0.050	0.383	0.392	0.226
GB026	51.7	0	0.620	0.950	0.617	0.608	0.774
GB027	43.3	0	0.500	0.913	0.500	0.510	0.153
GB027	43.3	1	0.500	0.087	0.500	0.490	0.847
GB074	5.0	0	0.901	0.994	0.903	0.968	0.984
GB074	5.0	1	0.099	0.006	0.097	0.032	0.016
GB075	6.7	1	1.000	1.000	1.000	1.000	1.000
GB117	16.7	1	0.825	0.976	0.828	0.881	0.928
GB117	16.7	0	0.175	0.024	0.172	0.119	0.072
GB118	38.3	1	0.331	0.362	0.329	0.135	0.220
GB118	38.3	0	0.669	0.638	0.671	0.865	0.780
GB119	6.7	1	0.610	0.117	0.609	0.940	0.863
GB119	6.7	0	0.390	0.883	0.391	0.060	0.137
GB120	6.7	1	0.527	0.764	0.524	0.846	0.759
GB120	6.7	0	0.473	0.236	0.476	0.154	0.241
GB121	5.0	1	0.489	0.062	0.490	0.761	0.633
GB121	5.0	0	0.511	0.938	0.510	0.239	0.367
GB123	53.3	1	0.772	0.983	0.773	0.977	0.310
GB123	53.3	0	0.228	0.017	0.227	0.023	0.690
GB126	31.7	1	0.543	0.947	0.540	0.920	0.362
GB126	31.7	0	0.457	0.053	0.460	0.080	0.638
GB127	60.0	0	0.810	0.986	0.812	0.923	0.740
GB127	60.0	1	0.190	0.014	0.188	0.077	0.260
GB131	0.0	0	1.000	1.000	1.000	1.000	1.000
GB132	0.0	0	0.808	0.991	0.806	0.943	0.975
GB132	0.0	1	0.192	0.009	0.194	0.057	0.025
GB133	0.0	1	1.000	1.000	1.000	1.000	1.000
GB134	23.3	1	0.858	0.992	0.858	0.962	0.980
GB134	23.3	0	0.142	0.008	0.142	0.038	0.020
GB135	36.7	1	0.668	0.976	0.664	0.903	0.910
GB135	36.7	0	0.332	0.024	0.336	0.097	0.090
GB136	31.7	1	0.393	0.051	0.388	0.869	0.606
GB136	31.7	0	0.607	0.949	0.612	0.131	0.394
GB137	3.3	1	0.620	0.968	0.616	0.975	0.402
GB137	3.3	0	0.380	0.032	0.384	0.025	0.598
GB138	6.7	0	0.869	0.990	0.869	0.987	0.974
GB138	6.7	1	0.131	0.010	0.131	0.013	0.026
GB139	15.0	0	0.336	0.022	0.338	0.811	0.057
GB139	15.0	1	0.664	0.978	0.662	0.189	0.943
GB140	18.3	0	0.844	0.566	0.847	0.964	0.970
GB140	18.3	1	0.156	0.434	0.153	0.036	0.030
GB150	13.3	1	0.812	0.990	0.811	0.972	0.951
GB150	13.3	0	0.188	0.010	0.189	0.028	0.049
GB151	5.0	0	0.909	0.996	0.909	0.995	0.991
GB151	5.0	1	0.091	0.004	0.091	0.005	0.009
GB152	11.7	1	0.704	0.949	0.705	0.768	0.918
GB152	11.7	0	0.296	0.051	0.295	0.232	0.082
GB167	6.7	0	0.860	0.970	0.861	0.992	0.970
GB167	6.7	1	0.140	0.030	0.139	0.008	0.030
GB170	0.0	0	1.000	1.000	1.000	1.000	1.000
GB171	0.0	0	1.000	1.000	1.000	1.000	1.000
GB172	0.0	0	1.000	1.000	1.000	1.000	1.000
GB184	11.7	0	0.746	0.987	0.742	0.984	0.842
GB184	11.7	1	0.254	0.013	0.258	0.016	0.158
GB185	33.3	0	0.521	0.897	0.518	0.848	0.425
GB185	33.3	1	0.479	0.103	0.482	0.152	0.575
GB186	1.7	0	1.000	1.000	1.000	1.000	1.000
GB192	0.0	0	1.000	1.000	1.000	1.000	1.000
GB198	0.0	0	1.000	1.000	1.000	1.000	1.000
GB250	31.7	0	0.864	0.539	0.867	0.991	0.984
GB250	31.7	1	0.136	0.461	0.133	0.009	0.016
GB252	36.7	0	0.269	0.027	0.268	0.359	0.120
GB252	36.7	1	0.731	0.973	0.732	0.641	0.880
GB253	36.7	0	0.355	0.823	0.350	0.846	0.077
GB253	36.7	1	0.645	0.177	0.650	0.154	0.923
GB254	30.0	1	0.485	0.425	0.484	0.952	0.171
GB254	30.0	0	0.515	0.575	0.516	0.048	0.829
GB256	41.7	0	0.716	0.968	0.717	0.971	0.174
GB256	41.7	1	0.284	0.032	0.283	0.029	0.826
GB257	16.7	0	0.613	0.832	0.610	0.740	0.957
GB257	16.7	1	0.387	0.168	0.390	0.260	0.043
GB260	10.0	0	1.000	1.000	1.000	1.000	1.000
GB262	8.3	0	1.000	1.000	1.000	1.000	1.000
GB263	8.3	1	0.726	0.966	0.725	0.911	0.917
GB263	8.3	0	0.274	0.034	0.275	0.089	0.083
GB264	10.0	0	0.824	0.959	0.825	0.969	0.950
GB264	10.0	1	0.176	0.041	0.175	0.031	0.050
GB265	18.3	0	0.901	0.964	0.902	0.994	0.989
GB265	18.3	1	0.099	0.036	0.098	0.006	0.011
GB266	20.0	1	0.870	0.106	0.874	0.992	0.967
GB266	20.0	0	0.130	0.894	0.126	0.008	0.033
GB270	20.0	0	1.000	1.000	1.000	1.000	1.000
GB273	15.0	0	0.728	0.049	0.731	0.977	0.815
GB273	15.0	1	0.272	0.951	0.269	0.023	0.185
GB276	23.3	1	0.149	0.058	0.146	0.165	0.026
GB276	23.3	0	0.851	0.942	0.854	0.835	0.974
GB285	10.0	0	0.902	0.996	0.902	0.994	0.989
GB285	10.0	1	0.098	0.004	0.098	0.006	0.011
GB286	8.3	0	0.742	0.973	0.739	0.983	0.897
GB286	8.3	1	0.258	0.027	0.261	0.017	0.103
GB291	3.3	0	1.000	1.000	1.000	1.000	1.000
GB297	6.7	0	0.909	0.996	0.909	0.995	0.990
GB297	6.7	1	0.091	0.004	0.091	0.005	0.010
GB298	3.3	0	0.583	0.743	0.577	0.962	0.777
GB298	3.3	1	0.417	0.257	0.423	0.038	0.223
GB299	8.3	0	0.651	0.952	0.652	0.961	0.191
GB299	8.3	1	0.349	0.048	0.348	0.039	0.809
GB301	73.3	1	0.433	0.069	0.433	0.887	0.178
GB301	73.3	0	0.567	0.931	0.567	0.113	0.822
GB302	1.7	0	0.904	0.996	0.906	0.993	0.955
GB302	1.7	1	0.096	0.004	0.094	0.007	0.045
GB303	1.7	0	1.000	1.000	1.000	1.000	1.000
GB304	31.7	1	0.803	0.986	0.804	0.953	0.715
GB304	31.7	0	0.197	0.014	0.196	0.047	0.285
GB309	6.7	0	0.541	0.968	0.539	0.149	0.846
GB309	6.7	1	0.459	0.032	0.461	0.851	0.154
GB316	0.0	0	0.908	0.996	0.909	0.995	0.987
GB316	0.0	1	0.092	0.004	0.091	0.005	0.013
GB317	0.0	0	1.000	1.000	1.000	1.000	1.000
GB318	0.0	0	0.906	0.996	0.907	0.995	0.987
GB318	0.0	1	0.094	0.004	0.093	0.005	0.013
GB319	0.0	0	1.000	1.000	1.000	1.000	1.000
GB320	0.0	0	1.000	1.000	1.000	1.000	1.000
GB322	8.3	0	0.715	0.903	0.718	0.928	0.498
GB322	8.3	1	0.285	0.097	0.282	0.072	0.502
GB323	10.0	0	0.643	0.747	0.645	0.530	0.931
GB323	10.0	1	0.357	0.253	0.355	0.470	0.069
GB324	26.7	0	0.460	0.514	0.458	0.726	0.375
GB324	26.7	1	0.540	0.486	0.542	0.274	0.625
GB326	35.0	1	0.764	0.983	0.761	0.851	0.960
GB326	35.0	0	0.236	0.017	0.239	0.149	0.040
GB327	13.3	0	0.679	0.985	0.677	0.650	0.946
GB327	13.3	1	0.321	0.015	0.323	0.350	0.054
GB328	13.3	1	0.899	0.994	0.900	0.992	0.968
GB328	13.3	0	0.101	0.006	0.100	0.008	0.032
GB329	31.7	0	0.682	0.918	0.676	0.972	0.915
GB329	31.7	1	0.318	0.082	0.324	0.028	0.085
GB330	25.0	0	0.903	0.994	0.904	0.971	0.984
GB330	25.0	1	0.097	0.006	0.096	0.029	0.016
GB331	25.0	0	1.000	1.000	1.000	1.000	1.000
GB400	10.0	0	0.806	0.991	0.808	0.842	0.907
GB400	10.0	1	0.194	0.009	0.192	0.158	0.093
GB401	76.7	0	0.628	0.212	0.628	0.890	0.694
GB401	76.7	1	0.372	0.788	0.372	0.110	0.306
GB408	0.0	1	0.909	0.977	0.911	0.992	0.990
GB408	0.0	0	0.091	0.023	0.089	0.008	0.010
GB409	8.3	0	0.908	0.983	0.909	0.995	0.988
GB409	8.3	1	0.092	0.017	0.091	0.005	0.012
GB410	8.3	1	0.505	0.043	0.503	0.892	0.882
GB410	8.3	0	0.495	0.957	0.497	0.108	0.118
GB421	43.3	1	0.150	0.011	0.147	0.526	0.024
GB421	43.3	0	0.850	0.989	0.853	0.474	0.976
GB422	46.7	0	0.803	0.159	0.806	0.938	0.963
GB422	46.7	1	0.197	0.841	0.194	0.062	0.037
GB519	5.0	0	0.772	0.818	0.776	0.655	0.936
GB519	5.0	1	0.228	0.182	0.224	0.345	0.064
GB520	1.7	0	0.877	0.978	0.879	0.959	0.985
GB520	1.7	1	0.123	0.022	0.121	0.041	0.015
GB521	1.7	0	0.835	0.992	0.838	0.950	0.867
GB521	1.7	1	0.165	0.008	0.162	0.050	0.133
GB522	16.7	1	0.904	0.995	0.904	0.994	0.987
