Language	Pop1	Pop2	Pop3	Pop4
Turkish	0.019	0.019	0.945	0.017
Bashkir	0.046	0.050	0.860	0.044
BeryozovkaE	0.032	0.059	0.101	0.808
Bonan	0.595	0.022	0.017	0.366
Tsuken	0.027	0.924	0.027	0.022
Chagatai	0.093	0.045	0.761	0.102
Chuvash	0.150	0.014	0.760	0.076
CrimeanTata	0.036	0.017	0.913	0.034
Dagur	0.944	0.017	0.021	0.018
Dolgan	0.502	0.066	0.307	0.125
Dongxiang	0.778	0.014	0.087	0.120
ShiraYughur	0.898	0.021	0.035	0.046
Gagauz	0.018	0.035	0.691	0.257
Khalkha	0.936	0.026	0.016	0.022
Hateruma	0.044	0.695	0.095	0.165
Solon	0.393	0.038	0.289	0.280
Mongghul	0.672	0.028	0.024	0.277
Ikema	0.013	0.951	0.020	0.016
KaraKalpak	0.032	0.071	0.868	0.029
Kazakh	0.022	0.018	0.939	0.022
Khakas	0.015	0.011	0.963	0.012
KhamnigalMo	0.647	0.031	0.091	0.231
Korean	0.128	0.679	0.034	0.159
Manchu	0.104	0.061	0.032	0.803
MiddleMongo	0.732	0.017	0.067	0.185
MiddleKorea	0.121	0.720	0.069	0.090
Mangghuer	0.303	0.052	0.015	0.631
Moghol	0.240	0.052	0.036	0.673
MomaEven	0.092	0.101	0.038	0.769
Nanai	0.469	0.327	0.020	0.184
Negidal	0.129	0.073	0.254	0.544
Nogai	0.029	0.020	0.931	0.019
NorthernUzb	0.049	0.049	0.850	0.052
Azerbaijani	0.026	0.016	0.920	0.038
Ura	0.028	0.881	0.058	0.033
Japanese	0.046	0.779	0.014	0.160
Ogami	0.024	0.706	0.041	0.229
Oirat	0.877	0.021	0.073	0.029
Okinoerabu	0.028	0.910	0.038	0.024
EasternOldJ	0.042	0.638	0.020	0.300
OldTurkic	0.065	0.010	0.757	0.168
Ordos	0.457	0.074	0.099	0.370
Oroch	0.094	0.153	0.249	0.504
Orok	0.269	0.308	0.154	0.269
Buriat	0.829	0.043	0.052	0.076
Shor	0.029	0.022	0.929	0.021
Shuri	0.019	0.944	0.024	0.013
Evenki	0.077	0.013	0.100	0.810
Yuwan	0.011	0.962	0.016	0.011
Tarama	0.022	0.946	0.014	0.018
Tatar	0.032	0.048	0.876	0.044
Kalmyk	0.728	0.029	0.051	0.193
Khalaj	0.015	0.014	0.786	0.185
Turkmen	0.033	0.023	0.888	0.056
Tuvan	0.282	0.308	0.269	0.140
Udihe	0.047	0.008	0.066	0.879
Uighur	0.079	0.026	0.835	0.060
Ulch	0.413	0.352	0.020	0.214
Yakut	0.578	0.034	0.175	0.214
Yonaguni	0.045	0.911	0.017	0.026	
