Language	Pop1	Pop2	Pop3	Pop4
Turkish	0.011	0.967	0.008	0.013
Bashkir	0.021	0.909	0.016	0.054
BeryozovkaE	0.048	0.017	0.885	0.050
Bonan	0.024	0.022	0.071	0.883
Tsuken	0.954	0.018	0.013	0.015
Chagatai	0.012	0.885	0.025	0.078
Chuvash	0.023	0.514	0.026	0.437
CrimeanTata	0.007	0.969	0.010	0.014
Dagur	0.008	0.229	0.037	0.727
Dolgan	0.024	0.934	0.015	0.027
Dongxiang	0.016	0.052	0.105	0.826
ShiraYughur	0.008	0.028	0.036	0.928
Gagauz	0.057	0.901	0.011	0.031
Khalkha	0.011	0.103	0.045	0.841
Hateruma	0.898	0.040	0.028	0.035
Solon	0.015	0.046	0.898	0.041
Mongghul	0.032	0.013	0.012	0.943
Ikema	0.959	0.012	0.010	0.020
KaraKalpak	0.008	0.954	0.020	0.018
Kazakh	0.011	0.965	0.008	0.015
Khakas	0.015	0.340	0.565	0.081
KhamnigalMo	0.017	0.798	0.120	0.065
Korean	0.089	0.010	0.008	0.893
Manchu	0.017	0.241	0.487	0.255
MiddleMongo	0.024	0.808	0.084	0.084
MiddleKorea	0.044	0.006	0.013	0.937
Mangghuer	0.028	0.014	0.010	0.947
Moghol	0.030	0.547	0.247	0.176
MomaEven	0.010	0.026	0.931	0.033
Nanai	0.009	0.013	0.963	0.015
Negidal	0.017	0.009	0.956	0.018
Nogai	0.019	0.825	0.045	0.111
NorthernUzb	0.034	0.753	0.022	0.191
Azerbaijani	0.012	0.965	0.009	0.014
Ura	0.950	0.011	0.019	0.020
Japanese	0.975	0.009	0.007	0.009
Ogami	0.911	0.006	0.008	0.075
Oirat	0.008	0.773	0.028	0.191
Okinoerabu	0.975	0.009	0.007	0.009
EasternOldJ	0.347	0.018	0.175	0.459
OldTurkic	0.007	0.960	0.020	0.012
Ordos	0.012	0.100	0.021	0.867
Oroch	0.010	0.026	0.945	0.019
Orok	0.012	0.009	0.967	0.012
Buriat	0.008	0.950	0.023	0.019
Shor	0.008	0.965	0.013	0.014
Shuri	0.975	0.007	0.009	0.010
Evenki	0.005	0.016	0.968	0.011
Yuwan	0.975	0.007	0.009	0.009
Tarama	0.976	0.007	0.006	0.011
Tatar	0.008	0.958	0.011	0.024
Kalmyk	0.012	0.943	0.021	0.024
Khalaj	0.007	0.968	0.014	0.011
Turkmen	0.018	0.935	0.012	0.035
Tuvan	0.007	0.965	0.014	0.014
Udihe	0.013	0.023	0.941	0.022
Uighur	0.018	0.939	0.012	0.030
Ulch	0.009	0.211	0.702	0.078
Yakut	0.354	0.450	0.027	0.169
Yonaguni	0.310	0.019	0.038	0.633	
