Language	Pop1	Pop2	Pop3	Pop4
Turkish	0.988	0.006	0.004	0.003
Bashkir	0.980	0.005	0.012	0.003
BeryozovkaE	0.007	0.016	0.972	0.005
Bonan	0.013	0.967	0.010	0.011
Tsuken	0.005	0.006	0.007	0.982
Chagatai	0.981	0.010	0.006	0.003
Chuvash	0.509	0.296	0.181	0.014
CrimeanTata	0.960	0.007	0.012	0.021
Dagur	0.017	0.908	0.070	0.004
Dolgan	0.950	0.015	0.027	0.007
Dongxiang	0.025	0.948	0.023	0.004
ShiraYughur	0.007	0.977	0.005	0.011
Gagauz	0.987	0.005	0.004	0.004
Khalkha	0.091	0.899	0.004	0.006
Hateruma	0.009	0.008	0.013	0.969
Solon	0.015	0.026	0.955	0.004
Mongghul	0.007	0.985	0.004	0.004
Ikema	0.034	0.063	0.081	0.822
KaraKalpak	0.961	0.030	0.005	0.004
Kazakh	0.985	0.007	0.003	0.004
Khakas	0.956	0.008	0.022	0.014
KhamnigalMo	0.039	0.943	0.012	0.005
Korean	0.017	0.007	0.011	0.965
Manchu	0.016	0.358	0.375	0.251
MiddleMongo	0.035	0.876	0.079	0.011
MiddleKorea	0.008	0.022	0.003	0.966
Mangghuer	0.010	0.972	0.010	0.008
Moghol	0.046	0.759	0.190	0.005
MomaEven	0.035	0.010	0.947	0.007
Nanai	0.008	0.021	0.944	0.026
Negidal	0.009	0.010	0.976	0.005
Nogai	0.985	0.006	0.006	0.003
NorthernUzb	0.988	0.006	0.004	0.003
Azerbaijani	0.986	0.006	0.005	0.002
Ura	0.004	0.007	0.005	0.984
Japanese	0.003	0.004	0.003	0.990
Ogami	0.008	0.027	0.119	0.846
Oirat	0.015	0.973	0.009	0.003
Okinoerabu	0.005	0.003	0.006	0.986
EasternOldJ	0.004	0.004	0.017	0.975
OldTurkic	0.850	0.089	0.047	0.014
Ordos	0.009	0.974	0.008	0.009
Oroch	0.006	0.004	0.986	0.004
Orok	0.012	0.010	0.971	0.008
Buriat	0.425	0.555	0.008	0.011
Shor	0.979	0.009	0.008	0.003
Shuri	0.004	0.003	0.003	0.990
Evenki	0.010	0.006	0.980	0.004
Yuwan	0.014	0.005	0.003	0.978
Tarama	0.010	0.007	0.009	0.975
Tatar	0.985	0.006	0.006	0.003
Kalmyk	0.102	0.816	0.055	0.027
Khalaj	0.968	0.020	0.008	0.004
Turkmen	0.986	0.007	0.004	0.003
Tuvan	0.960	0.015	0.010	0.014
Udihe	0.033	0.026	0.935	0.006
Uighur	0.982	0.009	0.004	0.004
Ulch	0.032	0.006	0.851	0.111
Yakut	0.948	0.012	0.035	0.006
Yonaguni	0.005	0.007	0.011	0.977	
