Run;K;level;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
46;8;morphology;-1029.3;-848.0;362.7;0.0394
49;5;morphology;-951.9;-875.2;153.3;0.0408
42;3;syntax;-1198.1;-1116.5;163.2;0.1092
21;6;phonology;-305.7;-228.9;153.5;0.0392
20;10;phonology;-398.4;-251.4;293.9;0.039
7;2;morphology;-1130.8;-1093.2;75.1;0.0558
35;7;morphology;-1035.9;-843.4;384.9;0.0401
39;9;phonology;-328.6;-241.6;174.0;0.0382
36;4;phonology;-272.3;-237.8;69.0;0.0437
2;10;morphology;-1123.1;-847.1;552.1;0.038
29;3;syntax;-1224.6;-1119.5;210.2;0.111
6;9;morphology;-1114.5;-848.9;531.2;0.0379
22;5;morphology;-951.8;-875.6;152.4;0.0415
17;6;syntax;-1383.2;-1060.5;645.5;0.0745
25;6;morphology;-1056.1;-856.7;398.8;0.0406
10;5;syntax;-1288.9;-1072.4;432.9;0.0998
42;8;phonology;-331.2;-235.5;191.4;0.0388
31;7;phonology;-337.0;-232.8;208.4;0.0389
37;10;syntax;-1447.5;-1072.8;749.4;0.0505
6;10;phonology;-395.4;-250.0;290.9;0.0386
39;2;syntax;-1269.8;-1218.3;103.0;0.1341
2;6;phonology;-326.6;-228.1;196.9;0.039
32;4;morphology;-951.6;-881.1;140.9;0.0401
26;5;phonology;-305.7;-222.6;166.3;0.0409
29;8;phonology;-356.1;-236.3;239.6;0.0395
5;6;syntax;-1379.1;-1065.0;628.1;0.0789
41;10;phonology;-363.2;-244.7;236.9;0.0382
40;6;phonology;-418.9;-415.4;6.9;8.0719
28;5;morphology;-951.1;-875.0;152.2;0.0413
27;8;morphology;-1073.2;-851.1;444.1;0.0391
23;3;syntax;-1214.7;-1117.6;194.2;0.1096
8;10;morphology;-1185.8;-858.5;654.7;0.0385
33;9;phonology;-372.5;-240.1;264.8;0.0389
48;3;syntax;-1205.4;-1116.8;177.1;0.1139
15;3;phonology;-304.6;-273.8;61.6;0.0527
43;5;morphology;-952.5;-876.1;152.9;0.042
23;8;phonology;-337.1;-240.0;194.3;0.0401
44;6;morphology;-1052.4;-858.3;388.2;0.0412
37;9;morphology;-1040.0;-858.9;362.1;0.0385
38;4;morphology;-950.3;-881.1;138.3;0.0397
8;6;phonology;-320.9;-229.2;183.5;0.0398
33;2;syntax;-1284.1;-1218.9;130.3;0.1423
50;7;phonology;-794.2;-233.7;1121.0;0.0933
6;5;morphology;-950.4;-876.6;147.7;0.0407
48;8;phonology;-344.7;-231.7;226.0;0.0392
15;8;syntax;-1566.0;-1053.3;1025.3;0.0569
47;5;phonology;-333.2;-226.8;212.8;0.0413
11;3;morphology;-1022.7;-970.0;105.5;0.0441
1;3;morphology;-1024.3;-970.1;108.5;0.0438
22;7;syntax;-1609.0;-1049.3;1119.3;0.0577
17;4;morphology;-949.9;-881.3;137.3;0.0398
18;9;morphology;-1015.2;-849.9;330.6;0.038
41;2;phonology;-337.8;-323.1;29.4;0.0826
49;7;syntax;-1484.7;-1052.4;864.7;0.0629
12;10;syntax;-1664.7;-1063.3;1202.8;0.0495
14;7;phonology;-1000.7;-242.0;1517.5;0.1236
35;5;syntax;-1254.8;-1078.5;352.5;0.1077
32;6;syntax;-1385.4;-1057.7;655.5;0.0736
45;2;morphology;-1131.2;-1093.2;76.0;0.0586
41;9;syntax;-1556.2;-1061.9;988.6;0.0531
13;4;phonology;-270.8;-237.5;66.6;0.0449
25;10;morphology;-1077.7;-849.1;457.1;0.0381
25;4;syntax;-1178.6;-1082.0;193.0;0.1331
10;7;morphology;-986.2;-852.7;266.9;0.0407
3;7;syntax;-1352.5;-1066.8;571.4;0.0605
4;7;phonology;-366.9;-227.4;279.1;0.0394
34;3;morphology;-1024.8;-970.1;109.4;0.0443
30;8;syntax;-1398.6;-1378.4;40.4;7.4178
20;2;phonology;-337.4;-322.7;29.4;0.0817
18;10;syntax;-1581.4;-1065.7;1031.4;0.0498
43;7;syntax;-1463.8;-1051.1;825.4;0.0642
16;2;syntax;-1268.7;-1218.1;101.1;0.1337
12;9;morphology;-1097.3;-848.2;498.3;0.0384
28;7;syntax;-1435.8;-1062.5;746.5;0.0642
30;3;phonology;-300.1;-276.1;48.1;0.0516
9;7;syntax;-1442.6;-1062.1;761.0;0.0652
44;10;morphology;-1022.5;-841.5;362.0;0.0378
24;2;morphology;-1131.0;-1093.1;75.8;0.0574
20;9;syntax;-1646.2;-1055.4;1181.7;0.0528
19;4;phonology;-273.8;-237.3;72.9;0.0445
44;4;syntax;-1184.7;-1080.5;208.5;0.1338
16;9;phonology;-417.1;-413.9;6.3;5.1992
38;6;syntax;-1313.1;-1071.0;484.1;0.0753
12;2;syntax;-1268.3;-1218.0;100.6;0.1292
16;9;morphology;-1040.0;-851.3;377.5;0.0391
19;4;morphology;-952.5;-881.4;142.2;0.0404
50;5;syntax;-1288.8;-1069.0;439.7;0.095
30;3;morphology;-1024.0;-970.3;107.6;0.0448
34;8;syntax;-1723.3;-1050.8;1345.1;0.0558
47;7;syntax;-1275.4;-1088.1;374.6;0.069
24;2;phonology;-338.3;-323.0;30.5;0.0936
40;4;syntax;-1178.6;-1081.9;193.4;0.1486
12;9;phonology;-4037.9;-310.5;7454.9;1.8389
4;4;morphology;-951.1;-881.3;139.7;0.0399
34;3;phonology;-307.3;-274.8;64.8;0.053
20;2;morphology;-1131.4;-1093.3;76.2;0.0559
24;9;syntax;-1626.8;-1055.2;1143.2;0.0524
40;10;morphology;-1108.0;-847.6;520.9;0.0381
4;8;morphology;-996.9;-852.4;289.0;0.0384
10;7;phonology;-986.7;-240.0;1493.3;0.1024
16;10;syntax;-1597.3;-1071.1;1052.4;0.0496
31;5;syntax;-1278.3;-1069.3;418.1;0.0906
5;3;morphology;-1024.2;-970.2;107.9;0.0445
13;4;morphology;-950.0;-880.9;138.3;0.0403
18;2;syntax;-1269.3;-1218.1;102.5;0.1309
45;2;phonology;-337.3;-323.0;28.6;0.0837
26;7;syntax;-1416.4;-1062.1;708.7;0.066
7;7;syntax;-1332.9;-1072.6;520.5;0.0637
14;7;morphology;-1010.9;-852.2;317.5;0.0397
21;4;syntax;-1179.8;-1082.0;195.5;0.1351
36;6;syntax;-1328.5;-1060.1;536.7;0.071
21;10;morphology;-1080.2;-853.6;453.2;0.0377
41;2;morphology;-1131.1;-1093.2;75.7;0.0561
18;9;phonology;-366.7;-239.8;253.9;0.0388
45;9;syntax;-1436.9;-1064.0;745.8;0.0516
17;4;phonology;-270.9;-237.5;67.0;0.044
9;2;morphology;-1130.6;-1093.3;74.7;0.0556
11;3;phonology;-305.6;-279.2;52.7;0.053
47;5;morphology;-952.1;-874.5;155.2;0.0411
48;8;morphology;-1013.5;-831.7;363.7;0.0381
23;8;morphology;-1078.0;-856.0;443.9;0.0396
27;3;syntax;-1203.3;-1116.1;174.3;0.1082
8;9;morphology;-1065.8;-860.4;410.8;0.0388
45;10;phonology;-370.4;-245.0;250.9;0.0393
19;6;syntax;-1313.5;-1075.4;476.2;0.0772
44;6;phonology;-306.0;-227.4;157.2;0.0396
38;4;phonology;-277.6;-237.6;79.9;0.0448
37;9;phonology;-419.6;-415.4;8.4;7.0606
50;7;morphology;-1029.3;-848.6;361.4;0.0402
2;5;morphology;-951.3;-875.6;151.4;0.041
39;10;syntax;-1532.6;-1075.0;915.2;0.0486
11;8;syntax;-1451.6;-1071.1;761.1;0.0558
43;5;phonology;-323.3;-225.2;196.3;0.0409
15;3;morphology;-1023.6;-970.2;106.8;0.0431
40;6;morphology;-1030.2;-852.0;356.4;0.0405
27;8;phonology;-2132.7;-262.6;3740.1;0.4523
28;5;phonology;-330.6;-227.2;206.7;0.0412
8;10;phonology;-381.6;-244.7;273.9;0.0387
33;9;morphology;-1031.5;-855.9;351.4;0.0389
37;2;syntax;-1270.2;-1218.0;104.5;0.1348
6;10;morphology;-1046.8;-851.0;391.6;0.0381
32;4;phonology;-272.2;-237.9;68.7;0.0446
13;6;syntax;-1390.8;-1075.6;630.4;0.0812
2;9;morphology;-1039.8;-835.2;409.2;0.0379
29;8;morphology;-1039.7;-854.2;370.9;0.0403
26;5;morphology;-951.9;-875.0;153.9;0.0417
25;6;phonology;-1754.9;-242.0;3025.8;0.1758
24;10;phonology;-369.8;-246.8;246.0;0.039
42;8;morphology;-1035.2;-849.7;371.0;0.0397
46;3;syntax;-1224.9;-1119.1;211.6;0.1103
3;2;morphology;-1131.3;-1093.2;76.2;0.0567
31;7;morphology;-1023.0;-839.8;366.4;0.0394
6;6;phonology;-342.7;-228.4;228.6;0.0398
36;4;morphology;-959.6;-881.7;155.8;0.0396
39;9;morphology;-1076.6;-860.1;433.1;0.039
2;10;phonology;-419.6;-415.7;7.6;7.7446
22;5;phonology;-318.8;-226.6;184.5;0.0406
1;6;syntax;-1376.5;-1069.6;613.8;0.0772
49;5;phonology;-325.9;-226.3;199.2;0.041
14;5;syntax;-1270.6;-1071.9;397.3;0.0944
46;8;phonology;-350.7;-233.4;234.6;0.0393
21;6;morphology;-1060.1;-857.8;404.7;0.0413
33;10;syntax;-1482.0;-1054.9;854.1;0.0506
35;7;phonology;-377.8;-235.0;285.4;0.0397
8;5;morphology;-952.9;-875.1;155.6;0.0416
7;5;syntax;-1256.7;-1076.9;359.5;0.0962
40;5;syntax;-1285.7;-1076.9;417.6;0.1034
12;8;phonology;-375.4;-234.9;280.9;0.039
24;8;syntax;-1533.9;-1048.4;971.1;0.0537
20;3;morphology;-1070.8;-973.6;194.4;0.0464
34;2;phonology;-338.6;-323.1;30.8;0.087
50;4;syntax;-1182.3;-1081.4;201.8;0.133
16;8;morphology;-983.3;-851.5;263.7;0.0387
19;5;morphology;-952.0;-875.2;153.5;0.041
12;3;syntax;-1241.0;-1125.5;231.0;0.1209
24;3;phonology;-302.4;-274.6;55.6;0.0528
47;6;syntax;-1362.3;-1062.2;600.2;0.0739
34;9;syntax;-1522.2;-1061.1;922.2;0.0521
30;2;morphology;-1130.9;-1093.2;75.4;0.0568
50;10;morphology;-1060.8;-849.1;423.4;0.0381
4;6;morphology;-997.3;-849.5;295.5;0.0414
1;10;syntax;-1587.4;-1072.0;1030.9;0.049
21;5;syntax;-1307.9;-1070.5;474.7;0.0997
14;6;morphology;-1021.5;-852.5;338.0;0.0404
45;8;syntax;-1585.8;-1062.5;1046.6;0.0572
18;8;phonology;-344.6;-240.8;207.5;0.0396
17;5;phonology;-308.2;-223.7;169.1;0.0406
41;3;morphology;-1031.0;-970.5;120.9;0.044
36;7;syntax;-1456.6;-1054.1;805.0;0.0601
7;9;syntax;-1630.5;-1066.4;1128.2;0.0516
31;4;syntax;-1178.4;-1081.7;193.3;0.1383
11;10;phonology;-401.1;-248.4;305.4;0.039
10;6;phonology;-332.5;-228.7;207.7;0.0398
6;2;syntax;-1269.9;-1218.2;103.4;0.1297
26;6;syntax;-1395.0;-1069.3;651.4;0.0728
45;3;phonology;-303.5;-273.7;59.5;0.052
18;3;syntax;-1214.9;-1118.2;193.4;0.1123
13;5;morphology;-952.4;-875.3;154.0;0.0406
31;10;morphology;-1086.5;-851.3;470.4;0.0381
1;2;phonology;-337.7;-323.0;29.5;0.0843
15;2;morphology;-1131.4;-1093.3;76.3;0.0535
11;9;syntax;-1605.3;-1051.9;1106.8;0.051
1;4;syntax;-1176.4;-1080.5;191.9;0.1331
43;4;phonology;-271.7;-237.3;68.8;0.0445
6;4;phonology;-272.6;-238.0;69.2;0.0442
37;3;syntax;-1223.2;-1119.0;208.5;0.1106
33;8;morphology;-1020.9;-857.8;326.3;0.0402
8;7;morphology;-1037.7;-853.8;367.8;0.041
27;9;phonology;-357.6;-239.8;235.5;0.0385
28;4;phonology;-271.2;-237.5;67.4;0.045
40;7;morphology;-1146.0;-844.7;602.5;0.0393
29;10;syntax;-1523.3;-1066.7;913.1;0.0493
47;4;morphology;-950.1;-881.1;138.0;0.0394
48;9;morphology;-1043.6;-851.5;384.1;0.0389
11;2;phonology;-338.3;-323.2;30.2;0.0881
50;6;morphology;-984.1;-848.3;271.6;0.0397
38;5;phonology;-330.2;-228.0;204.5;0.0417
37;8;phonology;-581.8;-242.4;678.9;0.0499
42;10;syntax;-1769.0;-1054.1;1429.8;0.0497
44;7;phonology;-350.1;-235.8;228.5;0.0393
19;7;syntax;-1504.3;-1063.0;882.5;0.0634
27;2;syntax;-1268.9;-1217.9;102.1;0.1325
23;9;morphology;-1053.0;-838.5;429.0;0.0382
14;10;morphology;-1040.9;-841.5;398.9;0.0377
22;4;phonology;-272.7;-237.7;69.9;0.0444
2;7;morphology;-1064.7;-854.8;419.7;0.0395
36;5;morphology;-952.7;-875.5;154.5;0.0403
39;8;morphology;-1094.8;-842.1;505.3;0.0386
34;10;phonology;-378.9;-245.6;266.6;0.0389
35;6;phonology;-324.1;-227.7;192.8;0.0402
21;7;morphology;-1045.0;-855.7;378.6;0.0401
14;4;syntax;-1180.3;-1083.5;193.7;0.144
49;4;phonology;-272.7;-238.2;69.1;0.045
46;9;phonology;-383.9;-244.8;278.3;0.0387
29;9;morphology;-1226.9;-850.2;753.3;0.0388
26;4;morphology;-951.0;-881.3;139.4;0.0402
13;7;syntax;-1378.1;-1072.8;610.6;0.066
48;10;syntax;-1398.4;-1378.3;40.2;6.7526
6;8;phonology;-360.6;-237.7;245.8;0.0389
32;5;phonology;-297.6;-222.2;150.6;0.0408
1;8;syntax;-1493.2;-1059.9;866.6;0.0552
7;3;phonology;-301.3;-275.0;52.6;0.0511
31;6;morphology;-1009.2;-850.5;317.4;0.0409
46;2;syntax;-1274.9;-1218.7;112.3;0.1379
42;9;morphology;-1133.1;-853.8;558.6;0.0385
25;7;phonology;-3202.5;-272.3;5860.5;0.7596
23;10;syntax;-1615.4;-1066.3;1098.0;0.051
8;4;phonology;-275.5;-239.7;71.8;0.0437
30;10;phonology;-381.0;-248.1;265.9;0.0383
31;6;phonology;-315.7;-228.1;175.1;0.0402
10;4;syntax;-1176.4;-1082.3;188.2;0.1389
