Feature	Missing_percent	Value	EstAncestralFrequency	Pop1	Pop2	Pop3	Pop4
TE003	3.3	1	0.436	0.026	0.457	0.982	0.090
TE003	3.3	0	0.564	0.974	0.543	0.018	0.910
TE004	3.3	0	0.809	0.991	0.852	0.995	0.387
TE004	3.3	1	0.191	0.009	0.148	0.005	0.613
TE005	18.3	0	0.760	0.988	0.800	0.993	0.153
TE005	18.3	1	0.240	0.012	0.200	0.007	0.847
TE006	26.7	0	0.603	0.111	0.554	0.984	0.963
TE006	26.7	1	0.397	0.889	0.446	0.016	0.037
TE007	6.7	0	0.686	0.704	0.647	0.993	0.969
TE007	6.7		1	0.314	0.296	0.353	0.007	0.031
TE008	1.7	1	0.567	0.912	0.458	0.949	0.960
TE008	1.7	0	0.433	0.088	0.542	0.051	0.040
TE031	1.7	0	0.257	0.961	0.191	0.131	0.022
TE031	1.7	1	0.743	0.039	0.809	0.869	0.978
TE037	1.7	1	0.478	0.602	0.473	0.891	0.145
TE037	1.7	0	0.522	0.398	0.527	0.109	0.855
TE038	1.7	1	0.659	0.036	0.706	0.993	0.674
TE038	1.7		0	0.341	0.964	0.294	0.007	0.326
TE039	5.0	0	0.392	0.031	0.415	0.489	0.124
TE039	5.0	1	0.608	0.969	0.585	0.511	0.876
TE078	1.7	0	0.794	0.990	0.752	0.996	0.982
TE078	1.7	1	0.206	0.010	0.248	0.004	0.018
TS079	11.7	0	0.881	0.995	0.929	0.997	0.560
TS079	11.7	1	0.119	0.005	0.071	0.003	0.440
TS080	10.0	1	0.335	0.016	0.301	0.919	0.240
TS080	10.0	0	0.665	0.984	0.699	0.081	0.760
TS088	1.7	0	0.515	0.974	0.360	0.961	0.955
TS088	1.7	1	0.485	0.026	0.640	0.039	0.045	
