Language	Pop1	Pop2	Pop3	Pop4
Turkish	0.025	0.018	0.950	0.008
Bashkir	0.007	0.015	0.969	0.009
BeryozovkaE	0.010	0.014	0.011	0.965
Bonan	0.057	0.861	0.013	0.069
Tsuken	0.962	0.013	0.014	0.011
Chagatai	0.121	0.555	0.252	0.072
Chuvash	0.034	0.422	0.525	0.019
CrimeanTata	0.007	0.016	0.968	0.009
Dagur	0.009	0.758	0.213	0.020
Dolgan	0.010	0.018	0.961	0.012
Dongxiang	0.016	0.936	0.020	0.028
ShiraYughur	0.011	0.884	0.094	0.012
Gagauz	0.040	0.026	0.924	0.010
Khalkha	0.016	0.886	0.070	0.027
Hateruma	0.833	0.057	0.064	0.047
Solon	0.026	0.058	0.048	0.868
Mongghul	0.036	0.940	0.011	0.013
Ikema	0.968	0.014	0.010	0.009
KaraKalpak	0.008	0.018	0.962	0.012
Kazakh	0.007	0.012	0.972	0.009
Khakas	0.010	0.016	0.963	0.012
KhamniganMo	0.019	0.072	0.837	0.073
Korean	0.027	0.952	0.010	0.011
Manchu	0.031	0.302	0.198	0.468
MiddleMongo	0.033	0.152	0.765	0.051
MiddleKorea	0.017	0.951	0.007	0.025
Mangghuer	0.073	0.908	0.010	0.009
Moghol	0.059	0.236	0.480	0.225
MomaEven	0.013	0.034	0.021	0.932
Nanai	0.013	0.015	0.013	0.959
Negidal	0.022	0.017	0.008	0.953
Nogai	0.034	0.159	0.752	0.055
NorthernUzb	0.112	0.452	0.415	0.021
Azerbaijani	0.024	0.022	0.946	0.008
Ura	0.951	0.016	0.011	0.022
Japanese	0.970	0.010	0.010	0.009
Ogami	0.844	0.137	0.008	0.011
Oirat	0.013	0.336	0.630	0.022
Okinoerabu	0.972	0.009	0.010	0.009
EasternOldJ	0.068	0.224	0.033	0.675
OldTurkic	0.010	0.015	0.956	0.019
Ordos	0.009	0.755	0.216	0.020
Oroch	0.017	0.021	0.028	0.934
Orok	0.015	0.011	0.008	0.965
Buriat	0.012	0.022	0.947	0.019
Shor	0.009	0.014	0.964	0.012
Shuri	0.965	0.013	0.009	0.014
Evenki	0.007	0.011	0.019	0.964
Yuwan	0.966	0.012	0.008	0.013
Tarama	0.971	0.013	0.008	0.007
Tatar	0.007	0.012	0.972	0.009
Kalmyk	0.016	0.028	0.937	0.018
Khalaj	0.010	0.013	0.966	0.012
Turkmen	0.010	0.016	0.962	0.013
Tuvan	0.015	0.424	0.514	0.047
Udihe	0.018	0.021	0.025	0.936
Uighur	0.008	0.015	0.969	0.009
Ulch	0.012	0.099	0.212	0.677
Yakut	0.019	0.067	0.841	0.073
Yonaguni	0.034	0.907	0.011	0.048
