Language	Pop1	Pop2	Pop3	Pop4
Turkish	0.006	0.003	0.987	0.004
Bashkir	0.004	0.003	0.981	0.011
BeryozovkaE	0.016	0.006	0.007	0.971
Bonan	0.967	0.012	0.012	0.009
Tsuken	0.005	0.982	0.006	0.007
Chagatai	0.009	0.004	0.981	0.006
Chuvash	0.318	0.013	0.496	0.173
CrimeanTata	0.007	0.023	0.956	0.014
Dagur	0.912	0.005	0.017	0.066
Dolgan	0.019	0.009	0.946	0.026
Dongxiang	0.948	0.004	0.025	0.023
ShiraYughur	0.976	0.011	0.007	0.006
Gagauz	0.005	0.004	0.987	0.004
Khalkha	0.904	0.007	0.085	0.004
Hateruma	0.008	0.969	0.009	0.014
Solon	0.030	0.004	0.014	0.951
Mongghul	0.984	0.004	0.007	0.004
Ikema	0.065	0.827	0.032	0.076
KaraKalpak	0.035	0.004	0.955	0.005
Kazakh	0.007	0.005	0.984	0.004
Khakas	0.007	0.014	0.957	0.021
KhamnigalMo	0.940	0.006	0.043	0.011
Korean	0.006	0.964	0.019	0.011
Manchu	0.343	0.269	0.020	0.368
MiddleMongo	0.870	0.011	0.033	0.086
MiddleKorea	0.023	0.965	0.009	0.003
Mangghuer	0.972	0.009	0.010	0.009
Moghol	0.771	0.006	0.050	0.173
MomaEven	0.011	0.007	0.033	0.949
Nanai	0.021	0.023	0.008	0.948
Negidal	0.009	0.006	0.010	0.975
Nogai	0.007	0.003	0.985	0.005
NorthernUzb	0.006	0.003	0.987	0.004
Azerbaijani	0.006	0.002	0.986	0.005
Ura	0.008	0.982	0.005	0.005
Japanese	0.004	0.990	0.002	0.004
Ogami	0.026	0.843	0.008	0.123
Oirat	0.974	0.003	0.016	0.007
Okinoerabu	0.004	0.986	0.005	0.006
EasternOldJ	0.004	0.974	0.005	0.017
OldTurkic	0.088	0.014	0.842	0.056
Ordos	0.973	0.010	0.010	0.007
Oroch	0.004	0.004	0.006	0.985
Orok	0.011	0.008	0.011	0.970
Buriat	0.547	0.010	0.435	0.008
Shor	0.010	0.004	0.978	0.009
Shuri	0.003	0.990	0.004	0.003
Evenki	0.007	0.004	0.011	0.978
Yuwan	0.005	0.977	0.015	0.003
Tarama	0.008	0.973	0.010	0.009
Tatar	0.007	0.003	0.983	0.007
Kalmyk	0.809	0.025	0.109	0.056
Khalaj	0.022	0.004	0.965	0.009
Turkmen	0.006	0.002	0.986	0.005
Tuvan	0.013	0.015	0.960	0.012
Udihe	0.027	0.006	0.034	0.933
Uighur	0.009	0.005	0.982	0.004
Ulch	0.005	0.112	0.034	0.849
Yakut	0.012	0.007	0.941	0.041
Yonaguni	0.008	0.974	0.005	0.013	
