Language	Pop1	Pop2	Pop3	Pop4	Pop5
Turkish	0.984	0.003	0.004	0.003	0.006
Bashkir	0.971	0.004	0.014	0.006	0.005
BeryozovkaE	0.007	0.007	0.960	0.007	0.019
Bonan	0.009	0.004	0.008	0.808	0.170
Tsuken	0.005	0.972	0.008	0.010	0.005
Chagatai	0.975	0.004	0.007	0.005	0.009
Chuvash	0.408	0.007	0.071	0.421	0.094
CrimeanTata	0.943	0.024	0.013	0.012	0.008
Dagur	0.016	0.005	0.078	0.012	0.888
Dolgan	0.846	0.009	0.027	0.102	0.017
Dongxiang	0.026	0.005	0.024	0.009	0.936
ShiraYughur	0.009	0.012	0.009	0.037	0.933
Gagauz	0.983	0.004	0.005	0.004	0.005
Khalkha	0.084	0.007	0.004	0.025	0.879
Hateruma	0.010	0.937	0.016	0.028	0.009
Solon	0.015	0.005	0.932	0.007	0.041
Mongghul	0.007	0.004	0.004	0.010	0.975
Ikema	0.028	0.690	0.077	0.130	0.074
KaraKalpak	0.957	0.004	0.005	0.017	0.017
Kazakh	0.978	0.005	0.004	0.004	0.009
Khakas	0.940	0.017	0.022	0.014	0.006
KhamnigalMo	0.036	0.005	0.011	0.031	0.917
Korean	0.010	0.564	0.006	0.416	0.004
Manchu	0.009	0.020	0.086	0.853	0.032
MiddleMongo	0.026	0.011	0.076	0.019	0.868
MiddleKorea	0.011	0.883	0.004	0.062	0.040
Mangghuer	0.012	0.011	0.010	0.066	0.901
Moghol	0.041	0.006	0.150	0.022	0.782
MomaEven	0.039	0.007	0.908	0.032	0.014
Nanai	0.008	0.036	0.895	0.039	0.022
Negidal	0.008	0.005	0.969	0.008	0.010
Nogai	0.980	0.003	0.007	0.004	0.007
NorthernUzb	0.984	0.003	0.004	0.005	0.005
Azerbaijani	0.982	0.002	0.005	0.004	0.006
Ura	0.005	0.971	0.005	0.011	0.008
Japanese	0.003	0.920	0.004	0.069	0.004
Ogami	0.007	0.713	0.155	0.103	0.022
Oirat	0.012	0.002	0.006	0.008	0.971
Okinoerabu	0.004	0.982	0.005	0.005	0.004
EasternOldJ	0.005	0.805	0.023	0.162	0.005
OldTurkic	0.823	0.016	0.059	0.036	0.066
Ordos	0.009	0.012	0.007	0.009	0.962
Oroch	0.006	0.004	0.983	0.004	0.004
Orok	0.013	0.007	0.957	0.011	0.012
Buriat	0.374	0.008	0.007	0.018	0.592
Shor	0.972	0.004	0.008	0.005	0.012
Shuri	0.003	0.987	0.003	0.003	0.003
Evenki	0.011	0.004	0.971	0.006	0.008
Yuwan	0.014	0.965	0.003	0.012	0.006
Tarama	0.013	0.955	0.011	0.012	0.009
Tatar	0.976	0.003	0.008	0.005	0.009
Kalmyk	0.077	0.017	0.042	0.430	0.434
Khalaj	0.938	0.004	0.008	0.021	0.029
Turkmen	0.983	0.002	0.005	0.004	0.006
Tuvan	0.927	0.012	0.011	0.038	0.012
Udihe	0.030	0.006	0.917	0.029	0.018
Uighur	0.975	0.005	0.004	0.005	0.011
Ulch	0.038	0.136	0.803	0.018	0.005
Yakut	0.869	0.006	0.041	0.073	0.011
Yonaguni	0.004	0.964	0.014	0.009	0.008
